BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
GI,20,Advanced Planning,"When you roll Initiative for combat, choose one willing ally within your line of sight. You and that ally swap Initiative results.",1,,,,,"Before combat, choose willing one ally in LOS, swap initiative results",Noble,Master of Intrigue,Noble
C,24,Advantageous Opening,"When an enemy or ally in your line of sight rolls a natural 1 on an attack roll, you can make a melee or ranged attack against a single target within range.",1,,,,,"when ally or opponent in LOS rolls nat 1 on atk, make atk against single target",Scoundrel,Opportunist,Scoundrel
SV,29,Advantageous Positioning,Any opponent that you are flanking is considered flat-footed and is denied its Dexterity bonus to Reflex Defense against you. ,2,Shift,,,,opponent you're flanking is considered flat-footed,Assassin,Assassin,Assassin
K,47,Advantageous Strike,You take advantage of your opponent's haste. You gain a +5 bonus on attacks of opportunity with melee weapons you are proficient with.,1,,,,,+5 Atk  with Atk of Opp with melee,Melee Duelist,Melee Duelist,Melee Duelist
J,14,Adversary Lore,"As a standard action, you can peer into the Force and search for weaknesses in the defenses of your enemies. Make a Use the Force check against the Will Defense of a target creature within 12 squares of you and in your line of sight. If the skill check equals or exceeds the target's Will Defense, that target takes a -2 penalty to Reflex Defense against you and all allies who can hear and understand you until the end of your next turn.",1,,stan,,,Use the Force v. Will Def in 12 sq & LOS for target -2 Ref Def ,Jedi,Jedi Consular,Jedi
K,40,Affliction,"Your Force power carries the taint of the dark side more so than even other dark side users. When you damage a single opponent with one of your Force powers, that target also takes 2d6 points of Force damage at the beginning of its next turn, before taking any actions.",1,,,,,"when you damage an opponent with a Force power, opponent takes +2d6 dam at start of next turn",Sith Apprentice,Sith,Sith Apprentice
L,26,Aggressive Negotiator,"Whenever you damage an opponent with a lightsaber attack, you can take 10 on any Persuasion checks you make before the end of your next turn, even if you would not normally be able to. ",2,Adept Negotiator,,,,"when you damage an opponent with lightsaber, can take 10 on Persuasion checks",Jedi,Jedi Consular,Jedi
R,26,Aggressive Surge,"Once per encounter when you catch a second wind, you can make a charge attack as a free action, provided that you can make a charge attack against a legal target at the time you catch a second wind.",1,,,,,1/enc make a free charge when you take a Second Wind,Scout,Unpredictable,Scout
C,57,Akk Dog Attack Training,Your akk dog follower gains the Powerful Charge feat. ,2,Akk Dog Master,,,,your akk dog follower gains Powerful Charge feat,Force-Using Traditions,Korunnai Adept,"Force Disciple, Jedi Master, Sith Lord"
C,57,Akk Dog Master,"You gain an akk dog follower. Choose either the aggressive, defensive, or utility follower template, and generate the akk dog follower's statistics using the rules on CW page 32. This follower gains the akk dog species traits (see the ""Akk Dog Followers"" sidebar) and the Power Attack feat. Additionally, any Force power you activate that targets you can target your akk dog follower instead, at your discretion. An akk dog counts toward the total number of followers you have, just like followers gained from other talents.",1,,,,,"gain 1 akk dog follower w/Power Attack feat, your force powers can target akk dog (one toward max)",Force-Using Traditions,Korunnai Adept,"Force Disciple, Jedi Master, Sith Lord"
C,57,Akk Dog Trainer's Actions,"You and your akk dog have bonded through the Force and can fight in concert. You can use any of the following actions on your turn. •Attack in Concert: As a standard action, you can make a melee or ranged attack against a target in range. If your akk dog follower is adjacent to the target and your attack hits, the target also takes piercing damage equal to 1d6 + the akk dog's Strength modifier. This additional damage is considered part of your attack for the purposes of resolving damage, DR, SR, and overcoming damage threshold. •Fall Upon Prey: As a standard action, you can make a melee or ranged attack against a target in range, and your akk dog can take the charge action against a target within its range. However, both you and your akk dog take a -5 penalty on your attack rolls (this replaces the bonus to attack rolls granted by the charge action). •Paired Maul: As a standard action, you can make a melee or ranged attack against a target in range. If the attack hits, your akk dog follower gains a +2 competence bonus on its next attack roll against that target. ",2,Akk Dog Master,stan,,,"if you atk: if akk dog adjacent to target dam = d6+Str mod & part of your atk for DR, akk dog can charge (both -5 atk & replaces charge mod), if you hit akk dog +2 next atk v. target",Force-Using Traditions,Korunnai Adept,"Force Disciple, Jedi Master, Sith Lord"
F,49,Always Ready,"You are accustomed to operating in response to enemy actions. When your readied action is triggered, it does not change your initiative count (see page 162 of the Saga Edition core rulebook). ",1,Initiative skill,,,,when a readied action is triggered Initiative does not change,Infiltrator,Infiltration,Infiltrator
C,40,Ambush,"When you successfully hit an opponent that has not yet acted in combat, you deal +2 dice of damage with the attack.",1,,,,,"if you hit an opponent that has not yet acted, add +2 dice dam",Elite Trooper,Republic Commando,Elite Trooper
SV,13,Ambush,"During a surprise round, before combat begins, if you are not surprised you can give up your standard action to allow all nonsurprised allies within your line of sight to take an extra move action during the surprise round. Allies can spend this move action to instead reroll their Initiative check and take the better result as a free action before combat begins. ",2,Dirty Tactics,,,,if not surprised give up stan for nonsurprised allies in LOS extra move or can reroll Init & take better,Noble,Disgrace,"Charlatan, Noble"
R,28,Ambush Specialist,"If you are not surprised on the first round of combat in an encounter, you can treat the first round of combat as if it were the surprise round for the purposes of talents and feats that trigger only during the surprise round. Additionally, during the surprise round as a free action you can designate that target as your prime target. You gain a +2 morale bonus to attack rolls against your prime target until the end of the encounter.",1,,,,,if not surprised you can treat first round of combat as surprise round to activate talents etc. In surprise round designate one enemy as prime target & +2 atk until end of encounter,Soldier,Ambusher,Soldier
GW,18,Anticipate Movement,"Once per round, as a reaction to an enemy in your line of sight moving, you can enable one ally within your line of sight to move up to his or her speed as a free action.",1,,reac,,,"1/rnd as reaction to enemy in LOS moving, grant 1 ally in LOS to move their spd as free",Noble,Anticipation,Noble
J,19,Apprentice Boon,"Whenever an ally within 12 squares with a lower Use the Force skill bonus than you makes a Use the Force check, you can spend a Force Point as a reaction to add to that Use the Force check. Use your level to determine how many dice to roll for the Force Point.",1,,reac,x,,add your Force Point result to an ally w/in 12 sq with a Use the Force modifier lower than yours,Jedi Knight,Jedi Instructor,Jedi Knight
L,45,Armor Mastery,"When calculating your Reflex Defense, you may add your heroic level plus one-half your armor bonus (rounded down) or your armor bonus, whichever is higher. You must be proficient with the armor you are wearing to gain this benefit. This talent counts as both the Armored Defense and Improved Armored Defense talents for the purposes of prerequisites.",1,,,,,"Ref Def bonus = HL + 1/2 armor bonus or armor bonus, counts as Armored & Improved Armored Def",Imperial Knight,Knight's Armor,Imperial Knight
CR,51,Armor Mastery,The maximum Dexterity bonus of your armor improves by +1. You must be proficient with the armor you are wearing to gain this benefit. ,2,Armored Defense,,,,max Dex bonus is +1,Soldier,Armor Specialist,"Gladiator, Imperial Knight, Jedi Knight, Sith Apprentice, Soldier"
L,45,Armored Augmentation I,"Once per encounter, you may spend a Force Point as a swift action to augment your own ability to withstand damage by imbuing the armor you are wearing with the Force. This allows you to add your armor bonus to Reflex Defense to your damage threshold until the end of the encounter. ",1,AP of armor,swif,x,,1/encounter add armor bonus to Ref Def to thresh until end of encounter,Imperial Knight,Knight's Armor,Imperial Knight
L,45,Armored Augmentation II,"Whenever you use the Armored Augmentation I talent, you also gain DR equal to 2 x your armor’s equipment bonus to Fortitude Defense. ",2,Armored Augmentation I*,,,,also gain DR = 2 x armor's equipment bonus to Fort Def,Imperial Knight,Knight's Armor,Imperial Knight
CR,52,Armored Defense,"When calculating your Reflex Defense, you may add either your heroic level or your armor bonus, whichever is higher. You must be proficient with the armor you are wearing to gain this benefit.",1,,,,,Ref Def bonus = either heroic level or armor bonus,Soldier,Armor Specialist,"Gladiator, Imperial Knight, Jedi Knight, Sith Apprentice, Soldier"
L,40,Armored Guard,"When you use the Ward talent (see below), your ally’s cover bonus to Reflex Defense is increased by one-half the armor bonus of any natural armor you possess as well as any armor you are wearing. ",2,Ward,,,,when you use Ward add one-half your armor bonuses to ally's Ref Def,Elite Trooper,Protection,Elite Trooper
K,38,Armored Mandalorian,"Mandalorians wear armor constantly and learn to adjust to take an impact on the strongest section of their armor. You add your armor's Fortitude Defense bonus as an equipment bonus to your elite trooper damage reduction (with a maximum bonus equal to your base elite trooper DR). Additionally, if a lightsaber does not ignore the DR of the armor you are wearing (such as cortosis weave/phrik alloy armor), a lightsaber does not ignore your damage reduction. ",2,"Dex 13, Mandalorian Glory",,,,"add armor's Fort Def to Elite Trooper DR, if lightsaber does not ignore DR it doesn't ignore your DR",Elite Trooper,Mandalorian Warrior,Elite Trooper
F,52,Armored Spacer,You can use armored spacesuits as if you had the Armor Proficiency (heavy) feat.,1,,,,,treat as AP (heavy),Master Privateer,Privateer,Master Privateer
UR,19,Arrogant Bluster,"You take on an air of arrogance, allowing you to distract and sway others with your apparent knowledge and experience. When you make a successful Persuasion check to change an enemy’s attitude, the enemy takes a -5 penalty to its Will Defense until the end of your next turn. If you spend a Force Point, the duration is extended to the end of the encounter. This is a mind-affecting effect. ",1,Trained in Persuasion,,*,,"Persuasion to change enemy's attitude for -5 enemy's Will Def until next turn, FP for end of enc",Noble,Exile,Noble
F,27,Art of Concealment,"Some smugglers are adept at hiding contraband and weapons, even on their person. When making a Stealth check to conceal an item, you can take 10 even under pressure. Additionally, you can conceal an item as a swift action.",1,,,,,"Stealth to conceal items on person can take 10 even if rushed, can conceal as a swif",Scoundrel,Smuggling,Scoundrel
R,24,Assault Gambit,"Once per turn, as a standard action, you can designate one ally and one enemy that have line of effect to each other. The ally and the enemy make opposed Initiative checks, and the winner can make a single immediate melee or ranged attack against the loser. No character can benefit from this talent more than once per round.",1,,stan,,,"1/turn designate 1 ally & 1 target with LOE, they roll Initiative & winner makes free atk against other",Noble,Gambling Leader,Noble
CR,221,Assault Tactics,"As a move action, you may designate a single creature or object as the target of an assault. If you succeed on a DC 15 Knowledge (tactics) check, you and all allies able to hear and understand you deal +1d6 points of damage to the target with each successful melee or ranged attack, until the start of your next turn. This is a mind-affecting effect.",1,,move,,,"DC15 Tactics, designate single object or creature, allies that can hear you, +d6 dam until next turn",Officer,Military Tactics,Officer
GI,21,Assured Skill,"When you select this talent, choose one skill . Whenever you roll a skill check with that skill, you can choose to lose any competence bonuses to that skill check and instead roll 2 dice, keeping either result. You can select this talent multiple times. Each time you do so, you must choose a different skill to gain the benefits of this talent.",1,,,,,Lose competence bonuses on 1 skill to roll 2 dice keep better,Noble,Superior Skills,Noble
C,53,At Peace,"You can spend a Force Point to gain a +2 Force bonus to all defenses until the end of the encounter or until you attack, whichever comes first.",1,,,x,,+2 all Def until end of encounter or until you attack,Force Sensitive,Light Side,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master"
CR,218,Ataru,"You may add your Dexterity bonus (instead of your Strength bonus) on damage rolls when wielding a lightsaber. When you wield a lightsaber two-handed, you may apply double your Dexterity bonus (instead of double your Strength bonus) to the damage. ",1,,,,,may add Dex mod on damage or double Dex bonus if two-handed instead of Str,Jedi Knight,Lightsaber Forms,Jedi Knight
CR,210,Attract Minion,"You attract a loyal minion. The minion is a nonheroic character (see SECR page 277) with a class level equal to three-quarters of your character level, rounded down. You may select this talent multiple times; each time you select this talent, you gain another minion. Normally, you can have only one minion with you at a time. Any other minions you have are assumed to be looking after your various interests. If you lose a minion, you can send for another minion if you have one (although normal travel time still applies). Each minion that accompanies you on an adventure is entitled to an equal share of the total experience points earned for the adventure. For example, a minion that accompanies a party of five heroes on an adventure receives one-sixth of the XP that the group earns. [Should your minion die, you must spend a talent to get a new one.]",1,,,,,"attracts nonheroic character 3/4 your level, multiple",Crime Lord,Mastermind,Crime Lord
F,52,Attract Privateer,"You attract a loyal privateer lieutenant. The privateer is a nonheroic character who has a class level equal to three-quarters of your character level, rounded down. You can select this talent multiple times. Each time you do so, you gain another privateer. Each privateer who accompanies you on an adventure is entitled to an equal share of the total experience points earned for the adventure. For example, a privateer who accompanies a party of five heroes on an adventure receives one-sixth of the XP that the group earns.",1,,,,,"attracts nonheroic character 3/4 your level, multiple",Master Privateer,Privateer,Master Privateer
GI,25,Attract Superior Minion,You attract a particularly skilled and powerful minion. The minion is a nonheroic character with a class level equal to your character level. This talent otherwise functions as the Attract Minion talent. ,4,"Attract Minion, Impel Ally II*",,,,Attract Minion with NH level = to your character level,Crime Lord,Mastermind,Crime Lord
CR,107,Attune Armor,"As a full-round action, you may spend a Force Point to attune a suit of armor to the Force, permanently increasing its armor bonus by +2. In addition, the maximum Dexterity bonus of the attuned armor permanently improves by +1. Only you can benefit from wearing the attuned armor; the benefits do not apply if someone else dons the armor.",1,,free,x,,"armor bonus +2, Dex bonus improves +1",Force-Using Traditions,Jensaarai Defender,"Force Disciple, Jedi Master, Sith Lord"
CR,214,Attune Weapon,"You may spend a Force Point to attune a melee weapon. Attuning the weapon takes a full-round action. From that point forward, whenever you wield the attuned weapon, you gain a +1 Force bonus on attack rolls. The weapon is attuned to you alone; others who wield the weapon do not gain the Force bonus.",1,,free,x,,+1 Atk with melee weapon,Force Adept,Force Item,Force Adept
C,53,Attuned,"When you roll a natural 20 on an attack roll against a target with a Dark Side Score of 1 or higher, you can activate a single Force power with the [light side] descriptor immediately as a free action. ",2,Focused Attack,free,,,when you roll nat 20 on attack v. opp with Dark Side 1+ can activate any power with [light side],Force Sensitive,Light Side,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master"
J,73,Aura of Freedom,"All allies within 6 squares of you gain a +5 Force bonus on skill checks or grapple checks made to escape grapples or other immobilizing hazards. Additionally, whenever an ally within 6 squares of you is moved against its will (such as by the move object Force power or the Bantha Rush feat), you can spend a Force Point as a reaction to negate the forced movement entirely.",1,,,*,,"+5 on skill or grapple checks to all allies w/in 6 sq, can spend FP to negate an ally moved against will",Force-Using Traditions,Aing-Tii Monk,"Force Disciple, Jedi Master, Sith Lord"
GW,22,Autofire Assault,"When making an autofire attack, you can brace a weapon that is not restricted to autofire only. You must be proficient with the weapon being used. ",1,WP (heavy weapons),,,,"can brace a weapon that is not restricted to autofire only, but you must be proficient with weapon",Soldier,Weapon Specialist,"Soldier, Weapon Specialist"
C,43,Automated Strike,"As a swift action, you can make a DC 15 Knowledge (tactics) check. If successful, all droid allies able to hear and understand you gain the benefits of the Double Attack feat for one weapon group with which you are proficient until the end of your next turn. ",1,Double Attack,swif,,,"DC 15 Knowledge (tactics), all droid allies who can hear you gain Double Atk from one of your WP",Droid Commander,Droid Commander,Droid Commander
C,53,Aversion,"As a swift action, you can spend a Force Point to radiate an invisible aura that makes other beings want to avoid you. Until the end of the encounter, all squares within 2 squares of you are considered difficult terrain for your enemies. This is a mind-affecting effect.",1,,swif,x,,until end of encounter all squares within 2sq are difficult terrain for enemies,Force Sensitive,Alter,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
SV,14,Avert Disaster,"Once per encounter, you can turn a critical hit against you into a normal hit. ",2,Fool's Luck,,,,1/encounter turn a critical hit into a normal hit,Scoundrel,Fortune,"Charlatan, Gunslinger, Scoundrel"
GW,20,Backstabber,"Once per turn, when you flank a target, you can treat him or her as flat-footed for one of your attacks. ",2,Sneak Attack,,,,1/turn when you flank treat them as flat-footed for 1 atk,Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
UR,19,Band Together,"You can inspire disparate beings to temporarily ally for a common cause. You can use each of the following actions once per encounter: • Directed Attack: As a swift action, designate one enemy character or vehicle as the target of this talent. Until the end of your next turn, whenever an ally within 12 squares of you hits the target, add 1d6 points of damage to each hit. • Strength in Numbers: Your allies gain confidence in numbers. As a swift action, you grant all allies within 12 squares of you and within your line of sight a +5 bonus to Will Defense until the end of your next turn. You must have a minimum of two allies to use this action. • Temporary Allies: With a successful Persuasion check, you can turn a Gamemaster character with an attitude toward you of unfriendly or indifferent into an ally willing to aid you and follow your direction for the remainder of the encounter. As a swift action, you direct the Gamemaster character to attack a target, aid another character, or use a skill to aid you or your allies. This is a mind-affecting effect. ",3,"Self-Reliant, Galactic Guidance*",,,,"1/enc each: 1. swif 1 enemy whenever an ally w/in 12sq hits target +1d6 dam, 2. swif grant allies w/in 12sq & LOS +5 Will Def until end next turn, 3. w/Persuasion unfriendly or indifferent into ally for enc direct target as swif",Noble,Exile,Noble
C,55,Bando Gora Surge,"Whenever you move up the condition track by any means, you gain bonus hit points equal to 5 + your heroic level. Bonus hit points are consumed before normal hit points, and unused bonus hit points go away at the end of the encounter. Bonus hit points from multiple sources do not stack.",1,,,,,"if you move up CT, gain hp = 5 + HL",Force-Using Traditions,Bando Gora Captain,"Force Disciple, Jedi Master, Sith Lord"
CR,49,Barter,"You may reroll any Persuasion check made to haggle (see the Persuasion skill, CR page 71). You must, however, accept the result of the reroll.",1,,,,y,reroll Persuasion to haggle,Scout,Fringer,"Outlaw, Scout"
CR,52,Battle Analysis,"As a swift action, you can make a DC 15 Knowledge (tactics) check. If the check succeeds, you know which allies and opponents in your line of sight are reduced to at least half of their maximum total hit points. (SotG) If you succeed at both a DC 15 Knowledge (tactics) check and a DC 15 Use Computer check, you may use this talent to determine what vehicles are reduced to at least half their maximum hit points.",1,,swif,,,DC15 Knowledge (Tactics) know which allies or opponents in LOS have half hp,Soldier,Commando,"Elite Trooper, Officer, Soldier"
CR,40,Battle Meditation,"The Jedi technique known as Battle Meditation allows you and your allies to work together seamlessly and with a level of precision that can only come from the Force. As a full-round action, you can spend a Force Point to give you and all allies within 6 squares of you a +1 insight bonus on attack rolls that lasts until the end of the encounter. This bonus does not extend to allies outside the range of the effect, even if they move within 6 squares of you later on. Allies who benefit from the Battle Meditation must remain within 6 squares of you to retain the insight bonus, and they lose it if you are knocked unconscious or killed. This is a mind-affecting effect. (SotG) This affects all allied gunners within 6 squares at starship scale. Unleashed: When you use the Battle Meditation talent, you can spend a Destiny Point to have its bonuses apply to all allies within the same star system. [[Weak talent option: Allow allies who re-enter range to regain benefits.]]",1,,full,x,,allies within 6 squares get +1 Atk for encounter if within 6 squares,Jedi,Jedi Guardian,Jedi
UR,22,Battle Mount,"You know how to fight from a living mount. You can use each of the following actions once per encounter: • Covered Attack: Once per encounter, when you use Use Mount as Cover (but not improved cover) with the Ride skill (CR page 72) you can make an attack as a standard action, but you must have a free hand to do so. • Reduce Profile: You gain additional cover from your mount. When you succeed in using the Use Mount as Cover application of the Ride skill (CR page 72), you gain improved cover. If you fail by less than 10, you still gain the benefit of normal cover. You gain no benefit if you fail by 10 or more. • Swift Attack Mount: Once per encounter, the mount you are riding can make an attack as a swift action instead of as a standard action. ",3,"Expert Rider, Terrain Guidance, trained in the Ride skill.",,,,"1/enc each on mount: 1. if use mount as cover can make 1 atk, 2. if use mount as cover gain improved cover - if fail by 10 or more still get cover, 3. mount can make atk as swif not stan",Scout,Mobile Scout,Scout
F,54,Battlefield Medic,You can use the first aid application of the Treat Injury skill on a creature as a standard action instead of a full-round action. ,2,Steady Under Pressure,,,,first aid as stan not full,Medic,Advanced Medicine,"Medic, Shaper"
GW,21,Battlefield Remedy,"You have learned a variety of different ways to treat combat injuries in the field. When you succeed on a Treat Injury check to administer First Aid, the tended creature also moves +1 step on the condition track. ",1,Trained in Treat Injury,,,,when successfully use Treat Injury to administer First Aid target also moves +1 CT,Soldier,Veteran,Soldier
C,26,Bayonet Master,"When you take a full attack action, you can treat a ranged weapon with a bayonet as a double melee weapon. You can attack with the bayonet and club a target with your ranged weapon (as with the Gun Club talent), ignoring the normal penalties for attacking with both ends of a double weapon. ",2,Gun Club,,,,with full atk treat ranged weapon w/bayonet as double weapon ignoring penalties for double weapon,Soldier,Brawler,Soldier
K,53,Beast Trick,"You can use the mind trick Force power on creatures of Intelligence 2 and lower. However, a beast with an Intelligence of 2 or less still cannot perform any complex action or understand complex commands it wouldn't otherwise be able to understand; an affected beast might understand ""Attack those Sith troopers!"" but it would not comprehend, ""Break into the command center and disable the communications array.""",1,,,,,"can use mind trick on beast Int 2 or less, cannot perform or understand complex directions",Force Sensitive,Control,"Force Adept, Force Disciple, Imperial Knight, Jedi Knight, Jedi Master, Sith Apprentice, Sith Lord"
SV,15,Befuddle,"If you succeed on a Deception check against a target's Will Defense as a swift action, until the start of your next turn you can move through the threatened area of that target as a part of your move action without provoking an attack of opportunity. Each threatened square that you move through counts as 2 squares of movement.",1,,swif,,,"Deception v. Will Def can move through threatened area without Atk of Opp, counts as 2 squares",Scoundrel,Misfortune,"Assassin, Bounty Hunter, Saboteur, Scoundrel"
S,17,Begin Attack Run,"As a swift action, you designate a single target. When using the attack run action against that target, vehicles in your squadron gain a +5 bonus on their attack rolls (instead of the normal +2). You may have only one target designated at a time. ",1,Cha 13,swif,,,"designate a single target, +5 Atk with an attack run",Ace Pilot,Squadron Leader,Ace Pilot
C,56,Believer Intuition,"As a reaction, when an opponent successfully attacks you. Make a Use the Force check and compare the result to your opponent's attack roll. If the check equals or exceeds the result of the attack roll, you can add your Charisma modifier to your Reflex Defense.",1,,reac,,,"if successfully attacked, Use the Force v. attack to add Cha mod to Ref Def",Force-Using Traditions,Believer Disciple,"Force Disciple, Jedi Master, Sith Lord"
SV,14,Beloved,"Your allies hold you in such esteem that when you are threatened or injured, you can impel them to action. You can use each of the following actions once per encounter: •Guardian: Choose one ally as a swift action. As long as you remain within 6 squares of the ally, you gain a +2 bonus to your Reflex Defense until the start of your next turn. •Reprisal: Make a single melee or ranged attack against any target within your range as a standard action. If your attack roll succeeds and if that target attacks you before the end of your next turn, one ally within 6 squares can make an attack against that target as a reaction. •To Me!: Spend a swift action. Whenever you take any damage before the beginning of your next turn, each ally within line of sight can move 2 squares as a reaction. This movement does not provoke attacks of opportunity. This is a mind-affecting effect. ",3,"Bolster, Inspire Confidence",,,,"each 1/enc: ally 6sq +2 Ref swif, or atk & if atked ally atk free, or if atked LOS allies move 2sq as reac",Noble,Inspiration,"Droid Commander, Noble"
SV,14,Better Lucky than Dead,"Once per encounter, as a reaction, you gain a +5 luck bonus to any one defense until the start of your next turn. ",2,Fool's Luck,reac,,,1/encounter +5 bonus to one Def until start of your next turn,Scoundrel,Fortune,"Charlatan, Gunslinger, Scoundrel"
R,43,Bigger Bang,"Whenever you create a grenade with the Improvised Device talent, the grenade deals an additional die of damage when used. ",2,Improvised Device,,,,+1 die dam with Improvised Device,Improviser,Improviser,Improviser
L,29,Biotech Adept,"You can reroll any Knowledge (life sciences) or Treat Injury check made to use or repair biotech devices and weapons, but you must keep the second result, even if it is worse.",1,,,,y,reroll Knowledge (life sciences) or Treat Injury to use or repair biotech,Scoundrel,Yuuzhan Vong Biotech,Scoundrel
L,47,Biotech Mastery,"When using the Biotech Specialist feat to modify biotechnology, you are able to make the appropriate modification in half of the normal time for half the normal cost. In addition, you can take 10 on the Mechanics check (even when distracted or threatened), but you cannot take 20.",1,,,,,"can make modifications in half time & half cost, can take 10 on Mechanics check",Shaper,Shaper,Shaper
R,43,Black Market Buyer,"When seeking an item from the black market, you do not need to make a Gather Information check to locate a black market merchant; you automatically succeed.",1,,,,,automatically locate black market merchant,Improviser,Procurement,Improviser
R,26,Blast Back,"Once per round when you are damaged by an enemy’s area attack, as a reaction you can make an immediate melee or ranged attack against the source of the area attack, provided that you have line of sight to the attacker and the target is within your melee or ranged reach.",1,,reac,,,"1/rnd when damaged by area atk, make an atk v. source if have LOS & range",Scout,Unpredictable,Scout
F,52,Blaster and Blade I,"When you make a single attack with an advanced melee weapon as a standard action, you can immediately make an attack with a pistol as a free action, provided you have both the advanced melee weapon and the pistol in your hands when the melee attack is made. You apply the normal penalties for fighting with two weapons to both of these attacks. ",1,"Dual Weapon I, WP (advanced & pistols)",,,,with a single attack with an advanced melee weapon make a free pistol attack,Master Privateer,Privateer,Master Privateer
F,52,Blaster and Blade II,"When you are wielding both an advanced melee weapon and a pistol, you treat the advanced melee weapon as though you were wielding it two-handed (including doubling your Strength bonus on damage rolls). ",2,"Blaster & Blade I, Dual Weapon I, WP (advanced & pistols)",,,,treat advanced melee weapon as if you were holding it two-handed (dbl Str bonus),Master Privateer,Privateer,Master Privateer
