BOOK,PAGE,WEAPON,Wpn Type,Size,Cost, Damage,Stun,Fire Rate,Weight,Dmg Type,Avail.,Area,Shots, Ammo Cost, Accuracy,COMMENTS,Used By
GW,39,"Grenade, radiation",S,T,500,3d8*,,S,0.5,Energy,Illegal,2-sq burst,,,,"atk v. Fort Def, half dam on miss & effects of Moderate exposure to radiation (CR 255-256); (1d20+2 vs. fort; if hit then 4d6 dmg and -1 persistent CT removed with Treat Injuty DC 20. If miss, no effect)",Confederacy of Independent Systems
K,180,"Grenade, remote",S,T,300,4d6,,S,1,Energy,Military,?,,,,"100-credit detonator, cannot go off within 100m of transmitter",mining and industrial demolitions
GW,39,"Grenade, smoke",S,T,100,,,S,0.5,,Restricted,2-sq burst,,,,provides concealment & creates a smoke hazard for 10 rounds (CR 256),"crowd control, special forces, military method to mark aerial attacks or call for evacuation"
CR,129,"Grenade, stun",S,T,250,,4d6,S,0.5,Energy,Restricted,2-sq burst,,,,,"mercenary units, military personnel, and local law enforcement"
L,98,Han Solo's Heavy Blaster Pistol,P,M,,3d8+2,3d8,S,1.3,Energy,Military,,50,,I,extra modification: +1 equipment bonus on attack rolls,
F,99,Incinerator Rifle,R,M,3500,3d6,,S,5,Energy,Military,,20,,,if killed = disintegrated,Bothan spies of the Rebel Alliance
GW,39,Interchangeable Weapon System,R,M,4500,3d8,3d8,"S,A",5,Energy,Military,,50,,,"switch weapon modes as stan; 3 modes: standard blaster rifle, sniper rifle, and anti-armor mode",unique to clone commandos
GW,39,Interchangeable WS (Anti-armor mode),H,M,,4d6,,S,1,Slashing,,3-sq burst,1,400,,"grenade launcher, treat as Heavy weapon",unique to clone commandos
GW,39,Interchangeable WS (Sniper rifle mode),R,M,,3d10,,S,,Energy,,,,,A,"includes targeting scope, -2 at unmodified point-blank",unique to clone commandos
K,69,Ion carbine,R,M,800,3d8 ion,,"S,A",3,Energy (ion),Restricted,,30,,I,,"Galactic Republic soldiers, Jawas"
CR,129,Ion pistol,P,S,250,3d6 ion,,S,1,Energy (ion),Licensed,,30,,,,"Galactic Republic soldiers, Jawas"
CR,130,Ion rifle,R,M,800,3d8 ion,,S,3.1,Energy (ion),Restricted,,20,,,,"Galactic Republic soldiers, Jawas"
K,69,"Lanvarok, Massassi",E,L,250,3d4,,S,9.8,Bludgeoning,Rare,,1,5,I,hurls discs; also can do 1d8 as a slashing weapon; Massassi & Kissai treat the Massassi lanvarok as an advanced melee instead of exotic,Massassi
K,69,"Lanvarok, Sith",E,M,4000,3d4,,S,5.8,Bludgeoning,Rare,,5,5ea.,I,wrist-mounted weapon that fires small discs; treat as pistol for range; can be used in 2-weapon fighting,Sith
T,134,Lt Concussion Missile Launcher,H,L,4000,4d10x2,,S,18,Slashing,Military,2-sq splash,1,800,,Atk -10 on targets smaller than Huge,"military units,  Separatist assault droids, Clone heavy troopers, Rebel vanguards, IG-100 MagnaGuards, Imperial shock troopers"
UR,38,Magna caster,E,M,2000,3d8,,S,4,Piercing,Restricted,,10,50,A,+5 Stealth to snipe,game hunters 
C,63,Merr-Sonn Model 434,P,M,650,3d8,3d8,S,1.2,Energy,Restricted,,50,,,"DR +2, ""Deathhammer""","Bounty hunters, mercenaries, and assassins"
R,49,Merr-Sonn PLX-2M Portable Missile Launcher,H,L,2250,8d6,,S,48,Energy,Military,3-sq burst,6,350,,"heatseeking mode or gravity-activated mode (-2 Ref to all targets of a particular type: character, droid, vehicle, or artillery); does not count toward encumbrance if active & drawn, reload as full"," Clone Wars-era antipersonnel weapon, Republic commandos, Imperial ARC troopers, Imperial shock troopers."
SV,50,Micro grenade launcher,R,M,2500,,,S,3,Varies,Illegal,,4,,I,"grenades deal -2 dice dam, reload as full",bounty hunters
R,49,Miniature Proton Torpedo Launcher,H,L,1500,6d10,,S,8,Energy,Military,2-sq burst,4,,,"stan action to reset after firing, swif to set to single-target for 6d10x2 dam & -10 atk v. targets smaller than Huge; used by Zero-G Stormtroopers","stormtroopers, rebels"
CR,130,Missile launcher,H,L,1500,6d6,,S,10,Slashing,Military,2-sq burst,4,,,,military
F,198,"Missile Launcher, E-Web",H,H,9500,6d6,,S,42,Slashing,Military,2x2,1,75,,1 size smaller on tripod,military
GW,40,Mortar launcher,H,L,2500,4d6,,S,20,Slashing,Military,2-sq burst,5,,,"Arc, cannot be used at PB, treat weapon as being 20sq in air for LOS & cover, shells identical to grenades","insurgents, partisans, and other underdog armies"
K,69,Needler,P,S,650,2d4,,S,1,Piercing,Licensed,,10,20,I,,Imperial spy Tanya Madera
CR,130,Net,S,L,25,,,S,4.5,,,,,,I,can make Grab or Grapple with Pin or Trip,primitive cultures and nonlethal crowd control
SV,50,Neural inhibitor,E,M,4200,1d6,,S,1,Piercing,Illegal,,,,I,"dart atk d20+5 v. Fort Def, moves target -1 CT","bounty hunters, pirates"
W,242,Onasi blaster pistol,P,S,,3d6+2,3d6+2,S,1,Energy,Restricted,,100,,,"Heirloom Item, +1 bonus to attack  (improved accuracy and improved damage)",
W,328,"Projectile Launcher, HH-15",H,L,2000,6d6,,S,12,Energy,Military,1-sq splash,1,100,,penetration 10 (ignoring the first 10 points of the primary target's DR or SR),Rebel Alliance vanguards
SV,50,Pulse rifle,E,M,5000,2d8,,S,2.5,Energy,Illegal,6-sq cone,5,,,,"smugglers, bounty hunters, and other outlaws"
K,69,Pulse-wave pistol,P,S,200,2d6,,S,1,Energy,Licensed,,100,,I,PB = +4 dam; usually illegal,Sith Descendant
K,69,Pulse-wave rifle,R,M,550,2d8,,"S,A",4,Energy,Restricted,,50,,I,PB = +5 dam,
F,200,Rail detonator gun,R,L,1900,3d8,,S,5,Piercing,Military,1-sq splash,10,50,,,"specialized stormtrooper units, primarily Imperial Jumptroopers"
L,65,Razor Bug,S,S,800,2d8,,S,0.5,Slashing,"Illegal, rare",,,,A,range for Simple weapon not Thrown,Yuuzhan Vong
K,69,Ripper,P,S,750,2d4,,S,1,Slashing,Licensed,,10,20,I,if target is moved down CT add d4 dam,Mandalorian officers
T,19,Rocket launcher (Jango Fett's),E,S,,2d6,,S,,Slashing,,,,,,,Jango Fett'
W,300,S-5 heavy blaster pistol,P,M,900,3d8,,S,1.3,Energy,Restricted,,20,,,liquid cable (2 20m); also holds 10 microdarts (1d2 damage + paralytic poison),"Royal Naboo Security Forces, Security Officer Corps"
T,19,Saberdart Launcher (Jango Fett's),E,S,,1d4,,S,,Piercing,,,1,,,"poison, atk +5 v. Fort Def, success -2 down CT, fail -1, if end at CT = dead. cure with DC25 Treat Injury",bounty hunter Jango Fett
GW,40,Scatter gun,R,M,275,3d8/2d8,,S,4,Piercing,Licensed,,10,2,I,"3d8 dam PB, 2d8 Short, none @ Med or Long range, shells weigh 0.1kg","primarily used for hunting; backup for mercenaries, marines, and other soldiers "
UR,129,Shrapnel pistol,P,S,250,2d6,,S,1.4,Piercing,Licensed,,10,20,,,backwater fringe worlds
R,50,Siang Lance,E,M,2000,3d8,3d8,S,4,Energy,"Illegal, rare",,100,,A,"can be used to make Atk of Opp, has bayonet included in design; used by Kilian Rangers",Kilian Ranger
CR,130,Sling,S,S,35,1d4,,S,0.3,Bludgeoning,,,1,,,,primitive
CR,130,Slugthrower pistol,P,S,250,2d6,,S,1.4,Piercing,Licensed,,10,20,,,backwater fringe worlds
UR,38,"Slugthrower pistol, heavy",P,M,400,2d8,,S,2.1,Piercing,Restricted,,8,15,,"Double Atk, Triple Atk & Rapid Shot = additional -1 atk",backwater fringe worlds
CR,130,Slugthrower rifle,R,M,300,2d8,,"S,A",4,Piercing,Restricted,,20,40,,,"Rebel SpecForce units, Tusken Raiders, primitives"
GI,64,Snare Pistol,P,M,600,,1d4,S,2,Bludgeoning,Licensed,,2,25,I,"escape with Acrobatics DC 15 or Str DC 20, Weapon may not fire at medium or long range, ammo 1kg",bounty hunter
SV,51,Snare rifle,R,M,1200,,1d6,S,5,Bludgeoning,Licensed,,5,50,,escape with Acrobatics DC 15 or Str DC 20,bounty hunter
K,70,Sonic disruptor,P,S,1000,2d6,,,1,Energy (sonic),Illegal,,10,,,"treats as if threshold is 5 less, if killed = disintegrated. Cannot be Deflected; can only fire once every other round; cannot fire more than one shot per round",illegal
K,70,Sonic pistol,P,S,900,2d6,,S,1,Energy (sonic),Licensed,,100,,,Cannot be Deflected,civilian response to Jedi and Sith using lightsabers
K,70,"Sonic pistol, heavy",P,M,1250,2d8,,S,1,Energy (sonic),Licensed,,50,,,,civilian response to Jedi and Sith using lightsabers
K,70,Sonic rifle,R,M,900,2d8,,"S,A",5,Energy (sonic),Restricted,,50,,,Cannot be Deflected,
T,146,Sonic Stunner,P,T,450,,3d6,S,1,Energy,Illegal,,?,,,"only the target of the attack hears any noise, making the weapon otherwise silent",bounty hunter IG-88
C,63,SoroSuub Firelance,R,M,1200,3d8,4d6,"S,A",2.5,Energy,Restricted,,50,,,,"bounty hunters, freelance law enforcement"
SV,52,Squib battering ram,S,L,3500,5d10,,S,10,Energy,Military,,,,,"2 crew to operate, only v. stationary targets",Squib salvagers
UR,39,Squib tensor rifle,E,M,10000,3d8,,S,7.2,Energy ,"Restricted, Rare",,15,,,"atk v. Fort Def for -1 CT regardless of dam , treat as rifle for range",Squibs
F,100,Stokhli Spray stick,R,M,14000,,3d8,S,4,Energy,Restricted,,80,100,I,functions as net,bounty hunters
UR,39,Stun pistol,P,S,550,,3d6,S,1,Energy ,Licensed,,50,,,range up to 20sq,"bounty hunters, law enforcement"
GW,42,Tactical tractor beam,H,L,8000,3d6*,,S,25,Energy,Military,,,,,"if on tripod treat as one size smaller, can only affect Huge or smaller, can move 10sq or hurl 10sq (target takes dam = size of hurled object CR 254), 2nd crewmember stan to regulate power or -2 atk",wealthy armies or extremely successful mercenary groups.
GW,42,Targeting laser,S,T,50,special,,S,0.1,Energy,Licensed,,,,,"atk roll ignores target's armor bonus to Ref Def, allies gain +2 atk with missile or grenade launcher or vehicle weapon",
CR,130,Thermal detonator,S,T,2000,8d6,,S,1,Energy,Illegal,4-sq burst,,,I,,"military, criminals, bounty hunters, and mercenaries"
L,65,Thud Bug,S,S,800,2d8,2d8,S,0.5,Bludgeoning,"Illegal, rare",,,,,"range for Simple weapon not Thrown, stun can be used at point blank or short range",Yuuzhan Vong
UR,39,Verpine shatter gun,E,M,15000,3d10,,S,1,Energy ,"Illegal, Rare",,50,1000,A,"crit = +d10 dam after crit, if weapon takes any dam considered disabled, Verpines treat as pistols",Verpines
CR,271,Whipcord (Boba Fett's),E,S,,,,S,,,,,,,I,can make Grab or Grapple with Pin or Trip; also Jango Fett's T 19,"Boba Fett, bounty hunters"
C,63,Wrist rocket antipersonnel,,,400,3d8,,S,0.25,Slashing,Military,,,,,as frag grenade but no area effect,
C,63,Wrist rocket antivehicle,,,500,3d10,,S,0.25,Slashing,Military,,,,,,
C,63,Wrist rocket flash,,,400,special,,S,0.25,Energy,Restricted,3-sq burst,,,,anyone within 3-sq burst over Ref Def is blinded 1d4 rounds,
C,63,Wrist rocket hollow-tip (empty),,,200,2d6,,S,0.25,Piercing,Licensed,,,,,,
C,63,Wrist rocket hollow-tip (nerve toxin),,,600,special,,S,0.25,Piercing,Illegal,,,,,secondary attack v. Fort Def & if successful -2 CT,
C,63,Wrist rocket hollow-tip (stun gas),,,400,,3d6,S,0.25,Piercing,Restricted,,,,,sprays in air on impact creating a cloud that fills square,
C,63,Wrist rocket ion blast,,,400,3d6 ion,,S,0.25,Energy (ion),Restricted,,,,,,
C,63,Wrist rocket launcher,E,S,2500,varies,,S,1,Varies,Restricted,,1,,,,Bounty hunters
GI,64,Xerrol NightStinger,R,M,1500,3d6,,S,4.5,Energy ,Illegal,,5,1000,,"Shots are invisible; used by assassins & imperial snipers, rifle","assassins, Imperial snipers"
L,66,Yuuzhan Vong Biotech,,,x4,,,,,,Rare/Illegal,,,,,"if deals energy, then deals bludgeoning, piercing or slashing as chosen",
