BOOK,PAGE,CLASS,HP,"Force Points",Ref,Fort,Will,Min lvl,"TRAINED SKILL PREREQUISITE","SKILL FOCUS PREREQ.","FEAT PREREQUISITE","TALENT PREREQUISITE","OTHER PREREQUISITE","Group Heading"
,,,,,,6,6,,Networked mind (3 droid allies),,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Networked mind (4 droid allies),,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Networked mind (5 droid allies),,,,,
,,,,,,,,,,,,,,
CR,211,Elite Trooper,d12,6,+2,+4,0,7th,,,"AP light & medium, 
Martial Arts I, & 
PB Shot OR Flurry","1 Armor Spec, Commando, Weapon Spec or Mercenary (Soldier)",BAB +7,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Critical Master,,PrC,,1,1,x,Delay damage,Delay damage: 1/encounter delay one attack or effect until the end of your next turn,,,,
,,Mandalorian Warrior,,PrC,,2,2,,Damage Reduction 1,Damage Reduction,,,,
,,Master of Teras Kasi ,,PrC,,3,3,x,,,,,,
,,Melee Specialist,,PrC,,4,4,,Damage Reduction 2,,,,,
,,Protection,,PrC,,5,5,x,,,,,,
,,Republic Commando,,PrC,,6,6,,Damage Reduction 3,,,,,
,,Squad Leader,,PrC,,7,7,x,,,,,,
,,Weapon Master,,PrC,,8,8,,Damage Reduction 4,,,,,
,,Camouflage,,Scout,,9,9,x,,,,,,
,,Commando,,Soldier,,10,10,,Damage Reduction 5,,,,,
,,,,,,,,,,,,,,
F,43,Enforcer,d8,6,+4,0,+2,7th,"Gather Info, Perception",,,1 from Survivor (Scout),"work for law enforcement 
or security organization",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Enforcement,,PrC,,1,0,x,Resources,"Resources: every level restricted or military equipment = HLx2000, can bank ",,,,
,,Survivor,,Scout,,2,1,,Targeted Suspect +1,"Targeted Suspect: observe opponent, Atk bonus & Deception, ",,,,
,,,,,,3,2,x,,,Perception & Persuasion ,,,
,,,,,,4,3,,Targeted Suspect +2,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,Targeted Suspect +3,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Targeted Suspect +4,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Targeted Suspect +5,,,,,
,,,,,,,,,,,,,,
CR,212,Force Adept,d8,6,+2,+2,+4,7th,Use the Force,,Force Sensitivity,any three Force. Force Tradition talents are also Force talents,,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Beastwarden,,PrC,,1,0,x,,Gains Force Techniques,,,,
,,Dark Side Devotee,,PrC,,2,1,,Force technique,,,,,
,,Force Adept,,PrC,,3,2,x,,,,,,
,,Force Item,,PrC,,4,3,,Force technique,,,,,
,,Imperial Inquisitor,,PrC,,5,3,x,,,,,,
,,Mystic,,PrC,,6,4,,Force technique,,,,,
,,Telepath,,PrC,,7,5,x,,,,,,
,,Alter,,Force,,8,6,,Force technique,,,,,
,,Control,,Force,,9,6,x,,,,,,
,,Sense,,Force,,10,7,,Force technique,,,,,
,,Dark Side,,Force,,,,,,,,,,
,,Light Side,,Force,,,,,,,,,,
,,,,,,,,,,,,,,
CR,215,Force Disciple,d8,7,+3,+3,+6,12th,Use the Force,,Force Sensitivity,"any two from Dark Side 
Devotee, Force Adept, or Force Item (Force Adept)","Farseeing,
1 Force Technique",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Force Adept,,PrC,,1,0,x,"Indomitable, Prophet",Indomitable: immune to mind-affecting effects,,,,
,,Any tree from chapter #6,,,,2,1,,Force secret,"Prophet: receive 2 Destiny Points instead of 1, may immediately",,,,
,,,,,,3,2,x,Force secret,,sacrifice one for a prophetic vision,,,
,,,,,,4,3,,Force secret,Force Secrets,,,,
,,,,,,5,3,x,Force secret,,,,,
,,,,,,,,,,,,,,
K,43,Gladiator,d10,6,+4,+2,0,7th,,,"Imp Dam Thresh, WP advanced",,BAB +7,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Gladiatorial Combat,,PrC,,1,1,x,,Unflinching: once per encounter add Gladiator level to Fort Def ,,,,
,,Awareness,,Scout,,2,2,,Unflinching/1,,& thresh or Will Def until next turn,,,
,,Armor Specialist,,Soldier,,3,3,x,,,,,,
,,,,,,4,4,,Unflinching/2,,,,,
,,,,,,5,5,x,,,,,,
,,,,,,6,6,,Unflinching/3,,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Unflinching/4,,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Unflinching/5,,,,,
,,,,,,,,,,,,,,
CR,216,Gunslinger,d8,6,+4,0,+2,7th,,,"PB Shot, Precise Shot, 
Quick Draw, WP(pistols)",,,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Carbineer,,PrC,,1,1,x,,Trusty Sidearm: add to damage,,,,
,,Gunslinger,,PrC,,2,2,,Trusty Sidearm +1,,,,,
,,Pistoleer,,PrC,,3,3,x,,,,,,
,,Sharpshooter,,PrC,,4,4,,Trusty Sidearm +2,,,,,
,,Fortune,,Scoundrel,,5,5,x,,,,,,
,,Awareness,,Scout,,6,6,,Trusty Sidearm +3,,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Trusty Sidearm +4,,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Trusty Sidearm +5,,,,,
,,,,,,,,,,,,,,
L,43,Imperial Knight,d10,6,+2,+2,+2,7th,Use the Force,,"AP(medium),
WP(lightsabers)",,"BAB +7, 
Defender of Roan Fel",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Knight's Armor,,PrC,,1,1,x,,Gains Force Techniques,,,,
,,Knight's Resolve,,PrC,,2,2,,Force technique,,,,,
,,Armor Specialist,,Soldier,,3,3,x,,,,,,
,,Lightsaber Combat,,Jedi,,4,4,,Force technique,,,,,
,,Duelist,,Jedi Knight,,5,5,x,,,,,,
,,Alter,,Force,,6,6,,Force technique,,,,,
,,Control,,Force,,7,7,x,,,,,,
,,Sense,,Force,,8,8,,Force technique,,,,,
,,Dark Side,,Force,,9,9,x,,,,,,
,,Light Side,,Force,,10,10,,Force technique,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
R,41,Improviser,d8,6,+2,0,+4,7th,"Mechanics, Use Computer",,Skill Focus (Mechanics),,,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Procurement,,PrC,,1,0,x,No tools required,Contraband: Obtain rare or illegal items equal to half level x credits,,,,
,,Improviser,,PrC,,2,1,,"Contraband (2,000 credits)",No Tools Required: always considered to be using a tool kit or security kit,,,,
,,Outlaw Tech,,Scoundrel,,3,2,x,,,,,,
,,Slicer,,Scoundrel,,4,3,,"Contraband (4,000 credits)",,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,"Contraband (6,000 credits)",,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,"Contraband (8,000 credits)",,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,"Contraband (10,000 credits)",,,,,
,,,,,,,,,,,,,,
F,46,Independent Droid,d12,6,+2,0,+4,3rd,Use Computer,,,,"Heuristic Processor, 
Droids only",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Autonomy,,PrC,,1,0,x,Sapience,"Sapience: can choose to not have droid immunities apply to mind-affecting effects,",,,,
,,Elite Droid,,PrC,,2,1,,Independent spirit +1,,immune to restraining bolts,,,
,,Specialized Droid,,PrC,,3,2,x,,Independent Spirit: once per encounter grant yourself morale bonus to one Def ,,,,
,,,,,,4,3,,Independent spirit +2,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,Independent spirit +3,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Independent spirit +4,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Independent spirit +5,,,,,
,,,,,,,,,,,,,,
F,48,Infiltrator,d8,6,+4,0,+2,7th,"Perception, Stealth",Stealth,,2 from Camouflage or Spy (Scout),,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Bothan SpyNet,,PrC,,1,0,x,,"Unarmed stun: unarmed attack deals +1 die dam to stun (+2 at 6th, +3 at 10th)",,,,
,,Infiltration,,PrC,,2,1,,Unarmed stun +1 die,"Lead infiltrator: make Stealth for allies in LOS = Cha mod, allies must stay in LOS",,,,
,,Camouflage,,Scout,,3,2,x,,,,,,
,,Spy,,Scout,,4,3,,Lead infiltrator,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,Unarmed stun +2 dice,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Lead infiltrator,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Unarmed stun +3 dice,,,,,
,,,,,,,,,,,,,,
CR,217,Jedi Knight,d10,6,+2,+2,+2,7th,Use the Force,,"Force Sensitivity, 
WP lightsabers",,"BAB +7, self-built lightsaber, 
Jedi tradition",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Duelist,,PrC,,1,1,x,,Gains Force Techniques,,,,
,,Jedi Archivist,,PrC,,2,2,,Force technique,,,,,
,,Jedi Artisan,,PrC,,3,3,x,,,,,,
,,Jedi Battlemaster,,PrC,,4,4,,Force technique,,,,,
,,Jedi Healer,,PrC,,5,5,x,,,,,,
,,Jedi Instructor,,PrC,,6,6,,Force technique,,,,,
,,Jedi Investigator,,PrC,,7,7,x,,,,,,
,,Jedi Refugee,,PrC,,8,8,,Force technique,,,,,
,,Jedi Shadow,,PrC,,9,9,x,,,,,,
,,Jedi Watchman,,PrC,,10,10,,Force technique,,,,,
,,Jedi Weapon Master,,PrC,,,,,,,,,,
,,Lightsaber Forms,,PrC,,,,,,,,,,
,,Lightsaber Combat,,Jedi,,,,,,,,,,
,,Armor Specialist,,Soldier,,,,,,,,,,
,,Alter,,Force,,,,,,,,,,
,,Control,,Force,,,,,,,,,,
,,Sense,,Force,,,,,,,,,,
,,Dark Side,,Force,,,,,,,,,,
,,Light Side,,Force,,,,,,,,,,
,,,,,,,,,,,,,,
CR,219,Jedi Master ,d10,7,+3,+3,+3,12th,Use the Force,,"Force Sensitivity, 
WP lightsabers",,"1 Force Technique, 
Jedi tradition",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Duelist,,Jedi Knight,,1,1,x,"Fearless, Serenity",Fearless: immune to fear effects,,,,
,,Any tree from chapter #6,,,,2,2,,Force secret,"Serenity: trance, lose Dex to Def, exit swif, 1st attack or Use the Force is nat 20",,,,
,,,,,,3,3,x,Force secret,Force Secrets,,,,
,,,,,,4,4,,Force secret,,,,,
,,,,,,5,5,x,Force secret,,,,,
,,,,,,,,,,,,,,
GW,32,Martial Arts Master,d10,6,+2,+4,0,7th,,,"Martial Arts I&II, Melee Defense, 1 Martial Arts Training",1 either Brawler (Soldier) or Survivor (Scout),BAB +7,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Martial Arts Forms,,PrC,,1,1,x,,"Tough as Durasteel: When you damage a target with an unarmed atk, gain bonus hp",,,,
,,Unarmed Mastery,,PrC,,2,2,,Tough as Durasteel +2,,,,,
,,Awareness,,Scout,,3,3,x,,,,,,
,,Master of Teras Kasi,,Elite Trooper,,4,4,,Tough as Durasteel +4,,,,,
,,,,,,5,5,x,,,,,,
,,,,,,6,6,,Tough as Durasteel +6,,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Tough as Durasteel +8,,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Tough as Durasteel +10,,,,,
,,,,,,,,,,,,,,
SV,32,Master Privateer,d10,6,+2,0,+4,7th,"Deception, Pilot",,Vehicular Combat,"2 from Misfortune, Smuggling,
or Spacer (all Scoundrel)",expanded on F51,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Piracy,,PrC,,1,1,x,,Veteran Privateer: you can add +2 Atk to yourself as a free action,,,,
,,Privateer,,PrC,,2,2,,Veteran Privateer/1,"Piracy: If you are lost to the dark side, you may not take any further levels of master privateer. ",,,,
,,Infamy,,Crime Lord,,3,3,x,,,,,,
,,Spacer,,Scoundrel,,4,4,,Veteran Privateer/2,,,,,
,,,,,,5,5,x,,,,,,
,,,,,,6,6,,Veteran Privateer/3,,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Veteran Privateer/4,,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Veteran Privateer/5,,,,,
,,,,,,,,,,,,,,
F,52,Medic,d8,6,0,+4,+2,7th,"Knowledge (life sciences), 
Treat Injury",,Surgical Expertise,,,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Medical Secrets,,,,
,,Advanced Medicine,,PrC,,1,0,x,,Improved First Aid,,,,
,,Survivor,,Scout,,2,1,,Medical Secret,target gains +1hp for every point over the DC,,,,
,,,,,,3,2,x,,Improved Heal Damage,,,,
,,,,,,4,3,,Medical Secret,surgery heals an additional number of hp = your class level,,,,
,,,,,,5,3,x,,Improved Long-Term Care,,,,
,,,,,,6,4,,Medical Secret,long-term care heals an additional number of hp = your class level,,,,
,,,,,,7,5,x,,Improved Perform Surgery,,,,
,,,,,,8,6,,Medical Secret,perform surgery in half the time,,,,
,,,,,,9,6,x,,Improved Revivify,,,,
,,,,,,10,7,,Medical Secret,revivify as stan not full,,,,
,,,,,,,,,,Improved Treatment,,,,
,,,,,,,,,,"treat disease or radiation in 1 hour not 8, can treat twice as many",,,,
,,,,,,,,,,Personal Physician,,,,
,,,,,,,,,,no penalty when using Treat Injury on self,,,,
,,,,,,,,,,,,,,
K,46,Melee Duelist,d8,6,+4,0,+2,7th,,,"Melee Def, Rapid Strike,
Weapon Focus (any melee)",,BAB +7,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Melee Duelist,,PrC,,1,1,x,,Master of Movement/(no. of times per encounter): ignore movement penalty on a single move action,,,,
,,Brawler,,Soldier,,2,2,,Master of Movement/1,,or reroll Jump or Acrobatics (take best),,,
,,Weapon Specialist,,Soldier,,3,3,x,,,,,,
,,,,,,4,4,,Master of Movement/2,,,,,
,,,,,,5,5,x,,,,,,
,,,,,,6,6,,Master of Movement/3,,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Master of Movement/4,,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Master of Movement/5,,,,,
,,,,,,,,,,,,,,
C,44,Military Engineer,d8,6,+2,+2,+2,7th,"Mechanics, Use Computer",,,,BAB +7,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Military Engineer,,PrC,,1,0,x,,"Field-created weapon: 1/enc as stan, DC20 Mechanics to create weapon ",,,,
,,Outlaw Tech,,Scoundrel,,2,1,,Field-created weapon +1,,"base value 600 x level, only if proficient",,,
,,,,,,3,2,x,,,,,,
,,,,,,4,3,,Field-created weapon +2,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,Field-created weapon +3,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Field-created weapon +4,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Field-created weapon +5,,,,,
,,,,,,,,,,,,,,
CR,220,Officer,d8,6,+2,0,+4,7th,Knowledge (tactics),,,1 from Commando (soldier) Veteran (soldier) or Leadership (Noble),military membership,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Fugitive Commander,,PrC,,1,1,x,,Command Cover: Ref Def +1 per ally adjacent to you = 1/2 level,,,,
,,Military Tactics,,PrC,,2,2,,"Command cover, Share talent",Share talent: once a day to ally w/in 10 sq. share talent w/# of allies = 1/2 level ,,,,
,,Naval Officer,,PrC,,3,3,x,,"Talents need to be from the Influence, Inspiration, Commando or the Military Tactics tree.",,,,
,,Rebel Recruiter,,PrC,,4,4,,"Command cover, Share talent",,,,,
,,Leadership,,Noble,,5,5,x,,,,,,
,,Commando,,Soldier,,6,6,,"Command cover, Share talent",,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,"Command cover, Share talent",,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,"Command cover, Share talent",,,,,
,,,,,,,,,,,,,,
SV,34,Outlaw,d8,6,+4,+2,0,7th,"Stealth, Survival",,,"1 Disgrace (Noble) 
or Misfortune (Scoundrel)",Must be wanted by the authorities in at least one system,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Outlaw,,PrC,,1,0,x,,"Fugitive: 1/encounter, move +X squares during withdraw",,,,
,,Slicer,,Scoundrel,,2,1,,Fugitive +1,,,,,
,,Fringer,,Scout,,3,2,x,,,,,,
,,Survivor,,Scout,,4,3,,Fugitive +1,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,Fugitive +1,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Fugitive +1,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Fugitive +1,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
R,43,Pathfinder,d10,6,+2,+4,0,7th,"Perception, Survival",,,"2 Awareness, Camouflage
or Survivor (Scout)",,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Pathfinder,,PrC,,1,0,x,,"Create Cover: Designate an area of squares equal to half your level, within 6 squares from you.",,,,
,,Awareness,,Scout,,2,1,,Create Cover (1 square),This area is considered to give cover from distant fire.,,,,
,,Survivor,,Scout,,3,2,x,,,,,,
,,,,,,4,3,,Create Cover (2 squares),,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,Create Cover (3 squares),,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Create Cover (4 squares),,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Create Cover (5 squares),,,,,
,,,,,,,,,,,,,,
F,54,Saboteur,d8,6,+2,0,+4,7th,"Deception, Mechanics, Use Computer",,,,,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Sabotage,,PrC,,1,0,x,Unexpected results,Unexpected results: If an enemy rolls a nat 1 v. you immediately disabled until repaired,,,,
,,Turret,,PrC,,2,1,,Destructive,Destructive: you always deal double damage to unattended vehicles or objects,,,,
,,Slicer,,Scoundrel,,3,2,x,,"Quick Sabotage: disable devices w/improvised tools & no kit, at 4th simple swif",,,,
,,Misfortune,,Scoundrel,,4,3,,Quick Sabotage,,at 6th level: tricky swif,,,
,,,,,,5,3,x,,,at 8th level: complex 2swif,,,
,,,,,,6,4,,Quick Sabotage,"Master saboteur: reroll any Mechanics to disable device or handle explosives, take best",,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Quick Sabotage,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Master saboteur,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
L,46,Shaper,d8,0,0,+2,+4,7th,"Knowledge (life science), 
Treat Injury",,Biotech Specialist,,Yuuzhan Vong,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Implant,,PrC,,1,0,x,,Shaper Lore: Gain a bonus 1/2 class level to Knowledge(life sciences) and Treat Injury for biotech,,,,
,,Shaper,,PrC,,2,1,,Shaper Lore +1,Shaper Hand: Gains artificial hand that replaces the need for a biotech toolkit.,,,,
,,Advanced Medicine,,Medic,,3,2,x,,,,,,
,,,,,,4,3,,Shaper Lore +2,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,"Shaper Lore +3, Shaper Hand",,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Shaper Lore +4,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Shaper Lore +5,,,,,
,,,,,,,,,,,,,,
CR,223,Sith Apprentice,d10,6,+2,+2,+2,7th,Use the Force,,"Force Sensitivity, 
WP lightsabers",,"Dark Side score = Wis, 
Sith tradition",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Sith,,PrC,,1,1,x,,Gains Force Techniques,,,,
,,Sith Alchemy,,PrC,,2,2,,Force technique,,,,,
,,Sith Commander,,PrC,,3,3,x,,,,,,
,,Armor Specialist,,Soldier,,4,4,,Force technique,,,,,
,,Lightsaber Combat,,Jedi Knight,,5,5,x,,,,,,
,,Duelist,,Jedi Knight,,6,6,,Force technique,,,,,
,,Alter,,Force,,7,7,x,,,,,,
,,Control,,Force,,8,8,,Force technique,,,,,
,,Sense,,Force,,9,9,x,,,,,,
