BOOK,PAGE,DROID SYSTEM,Desc.,GROUP,COST,WEIGHT,AVAIL.,COMMENTS & BENEFITS
SGD,55,Collapsible Construction,"A droid sometimes needs to be stowed in places where it usually would not fit. For example, a droid stowed in a smaller cargo space might surprise an enemy. The collapsible construction modification allows a droid to lower its Size category by one when it shuts down. The droid brain enters stand-by mode while it compacts itself into a smaller size. The droid can reactivate at any time as a standard action.

",Accessory,2000xCF,10xCF,-,"lowers size category by 1, reactivate as stan"
CR,193,Comlink,"Comlink: The droid is equipped with an integrated comlink system. It is otherwise identical to the standard comlink (see page 134).

",Communications,250,0.1,-,"integrated comlink system, as standard comlink "
CR,193,"Comlink, internal","Comlink: The droid is equipped with an integrated comlink system. It is otherwise identical to the standard com link (see page 134).

",Communications,250,0.1,-,"integrated comlink system, as standard comlink "
SGD,63,Command station,"On starships and at other installations requiring a large droid population, centralized droid command stations direct and control droids as they carry out their daily operations. A droid or an organic overseer can operate the droid command station. On large starships or major facilities, the station is manned at all hours. Smaller operations might use the station to issue commands and to provide automated oversight. Droids in the command station's pool must have a com link, an integrated comlink, or a remote processor in order to maintain contact with the station. Accessing the station requires the appropriate password or code cylinder. The station typically has Intelligence 14 (or the ship's Intelligence, whichever is higher) and a Will Defense of 15. 

Standard droid command stations provide the following functions with the indicated Use Computer or Mechanics check: 

• Issue a routine command to order a droid in the droid pool to carry out a specific task. If the droid is familiar with the task, or if the droid is trained in the associated skill, no skill check is required. If the command is unusual or highly specific, a Use Computer check might be required at the Gamemaster's discretion. The user gains a +10 equipment bonus to Use Computer, Persuasion, and Perception checks against the droid. Commands can be issued verbally or by keypad.
• Coordinate multiple droids in the pool, enabling them to complete tasks more efficiently. With a DC 15 Use Computer check by the station operator, each droid aiding in a given task provides a +3 bonus instead of a +2 bonus and automatically succeeds on checks to aid another.
• Locate any droid in the droid pool anywhere within the station's operational range-typically the vessel or facility where the station is installed. The target droid must be fitted with a tracking device or a restraining bolt that can be tracked by station's sensors or the facility's security network. A Use Computer check of DC 5 is sufficient to locate any such droid.
• Receive detailed information about a droid's status, including current hit points, position on the condition track, and the operational condition of its systems and accessories. No check is required.
• Reprogram a droid in the pool by remote or direct connection to the station (see page 192 of the Saga Edition core rulebook). 
• Translate between Binary and common languages. No check is required.
",Stations,10000,1000,Licensed,"Int 14, Will Def 15, see text for details on: issue routine command, coordinate, locate droid, receive details on droid status, reprogram droid, translate Binary"
SGD,56,Communications Countermeasure System,"One of the first things enemy forces do after discovering a droid is prevent the droid from establishing communications to request rescue or call for help from its allies. A communications countermeasure system prevents jamming of a droid's communications. The system broadcasts signals on multiple frequencies to counteract interference. A droid with a communications countermeasure system gains a +5 equipment bonus to all Use Computer checks made to overcome communications jamming.

",Communications,1000,3,Restricted,+5 Use Computer to overcome jamming
SGD,56,Communications jammer,"When behind enemy lines, a droid takes every possible precaution to ensure that anyone who finds it is unable to call for help or alert others about the droid's presence. The communications jammer allows a droid to jam any comlink signal by interfering with a facility's communications systems or by directly jamming signals in the droid's general vicinity.

A communications jammer grants a droid a +5 equipment bonus when making a Use Computer check to slice into a computer system and shut it down. The droid also gets the +5 equipment bonus to maintain that status if any slicers attempt to stop the jamming. Once the droid has successfully connected with the communications system and begun jamming, it can continue jamming the system until it disconnects or it is forced out.

The signal jammer emits signals at multiple frequencies to interfere with any comlink signals within a 1- kilometer radius of the droid. The droid must make a DC 25 Use Computer check to successfully jam any incoming or outgoing com link signals.

",Communications,5000,5,Military,"+5 Use Computer to slice & shut down computer, +5 to stop slicer's jamming, DC 25 Use Computer to jam incoming or outgoing comlinks w/in 1 km"
SGD,56,Concealed Item,"This system enables the droid to have a weapon or a tool built into a hidden compartment in its body, an appendage, or its head. With this system, a weapon can also be camouflaged to look like a standard tool or appendage. For example, an arm can hide a blaster rifle, or a beam cutter might actually be a blaster pistol. Typically, the size of the appendage must be similar to the size of the concealed weapon or tool. If the item is fully concealed by the droid's armor or outer covering, it cannot be detected by visual observation alone. If a weapon is not fully concealed and portions are visible, such as a muzzle or blade, then when being searched for weapons the droid gains a +5 bonus to Stealth checks to conceal the weapon, plus any weapon size modifier that applies (see page 72 of the Saga Edition core rulebook). The droid also gains a + 10 bonus to Deception checks to create Deceptive Appearances with regards to the concealed item.

The cost of concealing a weapon or a tool equals the base cost of the item plus the cost of the appendage and/or internal storage compartment x 2. The Gamemaster can increase the cost multiplier to account for complex or unusual installations. Deploying a fully concealed weapon is a swift action, and it is subject to the same bonuses and penalties as drawing a weapon.

",Accessory,see text,App+weapon,Restricted,"+5 Stealth to conceal plus size modifiers, +10 Deception to create Deceptive Appearances"
SGD,56,Courier compartments,"Droids are sometimes used as messengers to deliver important messages and items across the galaxy. To protect items entrusted into their care, these droids can have hidden courier compartments installed in their chassis. Such compartments are also favorites of smugglers who own droids. A droid with a courier compartment might walk right past a starport inspection team that is on the way to tear its master's ship apart.

Courier compartments can be installed in four locations within a droid. A courier compartment in the torso can hold an item that is 3 sizes smaller than the droid's size. A compartment in the arm or leg can hold an item that is 4 sizes smaller than the droid's size. A head compartment can hold an item that is 5 sizes smaller. Detecting a courier compartment requires a successful Perception check with a DC equal to the droid's Will Defense +5.

A common accessory in a courier compartment is a toaster, which destroys the contents of the compartment with a brief blast of plasma energy triggered by the droid. Installing a toaster into a courier compartment doubles the cost of the compartment.

Example: S-3PO, a protocol droid in service to Count Czasiz, has a courier compartment hidden in its left arm. As a Medium droid, the compartment can an hold item of up to Fine size, so it can hold the skifter sabacc card the Count needs to guarantee his next win.

",Accessory,200,2xCF,-,"hold an item 3 sizes smaller than droid's torso, 4 leg/arm, 5 head, Perception to detect with DC = droid's Will Def +5"
SGD,56,Credit reader,"Interplanetary banks and crime lords have one common interest: They need to know how much money a client has before they do business. Whether a line of credit or hard currency, a credit reader determines whether a target's credits are real or if a line of credit exists for that being. The credit reader gives the droid a +5 bonus to any Perception check against any Deception check made to forge credit accounts or financial documents. The droid can also instantly count any sum of hard credits presented to it as a free action.

",Accessory,50,1,Licensed,"+5 Perception against Deception of a forgery, can count hard credits as a free action"
CR,196,Darkvision,"Darkvision: The droid with darkvision ignores concealment (including total concealment) from darkness.

",Sensors,150,1.5,-,"+2 Perception, low-light vision, ignores concealment (including total) from darkness"
CR,193,Diagnostics Package,"Some droids are equipped to perform diagnostics, either as an aid to a technician or as a general safety feature. The diagnostic package gives a droid a +2 equipment bonus on Mechanics checks to diagnose problems.

",Accessory,250,4,-,+2 on Mechanics checks to diagnose problems
CR,192,Downloading and Restoring Memory,"Unlike organic beings, droids have a form of mechanical immortality: If a droid's programming is saved to a computer system, and a new chassis and droid brain can be bought or found, others can attempt to load its memory into the new droid and reactivate the droid.

A successful Use Computer check is required to transfer a droid's programming into a new chassis. The DC for the Use Computer check depends on the type of new chassis being used: 

Same model  DC 20
Different model, same degree DC 25
Different model, different degree DC 35

Each time the transfer is attempted, the droid must make a DC 15 Intelligence check. A failed check indicates that the droid's memory suffers corruption: a permanent reduction of 1d6 Intelligence points. The corrupted programming can't be repaired; if the droid's Intelligence modifier decreases because of corruption, the droid's trained skills must be reduced accordingly.

The droid also loses access to feats that have an Intelligence prerequisite higher than the droid's new Intelligence score. A droid successfully transferred into another droid of the same model resumes functioning as it was before the transfer, retaining all ability scores, class levels, skills, feats, and talents.

A droid successfully transferred into a different model adopts the Strength and Dexterity of the new model but keeps its previous Intelligence, Wisdom, and Charisma scores. The droid retains its trained skills, although skill modifiers based on Strength and Dexterity might need adjusting. Finally, the droid loses one class level (including all associated talents and feats) as it has to reprogram and adapt its memory and sensory inputs for the new chassis.

",Reprogramming,,,,See page 192
CR,192,Droid caller,"Droid Caller: The droid caller is a handheld transmitter weighing 0.2 kg. It transmits a signal to any droid equipped with a restraining bolt. The droid caller overrides a droid's motor function and impels it toward the caller for as long as the device is activated.

A droid with a heuristic processor fitted with a restraining bolt can resist the droid caller with a successful DC 20 Charisma check. If successful, that droid can't be affected by that specific droid caller for 24 hours. 

",Communications,10,0.2,-,"Summons droid with restraining bolt, resist with DC20 CHA to be immune to the caller for 24h"
SGD,56,Droid oil bath,"Droids look forward to an oil bath after a long period of work. This standard maintenance procedure lubricates the droid's servos and joints, allowing the droid to move as if it has just come off the assembly line. An oil bath is recommended at least once a week for a droid working in a harsh environment, and once a month for a droid working in a temperate climate or on board a ship. A droid immersed in an oil bath for at least 30 minutes can activate a second wind, even if it has already done so that day. The price of an oil bath depends on the size of the droid: small droids and smaller-100 credits; medium droids-1,000 credits; large droids-5,000 credits; huge droids and larger-10,000 credits.

",Accessory,500,600xCF,-,if in at least 30 min can activate 2nd Wind
SGD,53,Droid remote control,"Droid Remote Control (SGtD): An advanced version of the restraining bolt system (see page 191 of the Saga Edition core rulebook), the droid remote control allows the owner to use a droid caller to move the droid using its own locomotion system. The droid cannot be compelled to use any of its other systems or possessions. It simply moves as directed at one-half its speed.

",Processors,500,0.5,-,droid caller to move droid using its own locomotion at half spd
SGD,64,Droid Socket,"Designed exclusively for astromech droids, the droid socket serves as a station combining copilot, systems monitoring, astrogation, and damage-control operations for minimally crewed craft.

Droid sockets are featured on many snub fighters, the occasional shuttle, and a few airspeeders. They generally must be designed and installed as original equipment, although savvy techs can build their own or transplant one onto a ship that does not normally carry a socket.

Standard droid sockets allow an astromech droid to perform the following tasks:
• Pilot or copilot the ship or vehicle with the pilot's permission; if the pilot is unconscious, permission is not required.
• Act as a system operator to raise, lower, or recharge shields (see page 172 of the Saga Edition core rulebook).
• Act as an engineer to reroute power (see page 172 of the Saga Edition core rulebook).
• Make limited Mechanics checks to jury-rig or otherwise repair a ship's systems as determined by the Gamemaster.
• Make Use Computer checks through the ship's system and built-in scomp link.
• Operate the communications system and sensors.
• Input hyperspace jump coordinates from an astrogation buffer and control the hyperdrive with the Use Computer skill, if the ship has a hyperdrive.
• Operate pilot and droid ejection system-with the pilot's express permission. The droid ejection system fires the droid out of the socket and away from the ship at speed 12.

Standard prohibited actions and systems (can be overridden by the pilot):
• Weapons activation and firing.
• Jumping to hyperspace without approval.

Optional systems that might not be found on every ship include:
• Astromech self-loading system, such as on the Naboo N-1 starfighter.

",Stations,10000*,1000,Military,"*cost usually included in cost of vehicle, see text for more on: pilot or copilot, system operator, engineer, jury-rig/repair, Use Computer checks, communications/sensors, input hyperdrive coordinates, operate ejection system, prohibited actions, optional self-loading system"
SGD,57,Earphone binary-to-basic translator,"Binary is the primary language of droids. This translator unit is installed on a droid's Basic-output jack, a standard jack found on most droids that enables them to connect to a terminal or a data pad and to express themselves in written Basic. The translator converts audible Binary into audible Basic, transmitting the spoken words to an earphone receiver. The less expensive version requires a large headphone set, while the more expensive version transmits to an earbud receiver. Detecting the earbud requires a Perception check of DC 20.

",Accessory,20,0.5,-,"converts audible Binary to audible Basic, Perception DC 20 to detect"
SGD,57,Electric defense grid,"Most combat droids are effective at using blasters and other ranged weapons. Some models, however, fail miserably at melee combat and are quickly dispatched by enemies that gain the upper hand in close quarters. To improve a droid's melee defenses, an electric defense grid can be installed either on top of or as part of the droid's armor or outer shell. Whenever a droid with an electric defense grid is damaged by a melee attack, the attacker automatically takes 5 points of energy damage. Melee weapons that rely on energy to cause damage, such as lightsabers, are immune to the effect of the electric defense grid.

",Accessory,3000xCF,100xCF,Restricted,"if damaged by melee atk attacker takes 5 dam, energy melee weapons ignore the effect"
CR,139,Electroshock probe,,Appendage,,,,tool mount; 1d8 ion damage
SGD,57,Emergency oxygen supply,"This accessory is installed on search-and - rescue droids sent to recover pi lots who bailout during combat. The small oxygen tank attached to the droid's torso provides enough oxygen for a creature of Medium size for 30 minutes. The tank can be used to recharge a vacsuit's supply, or the oxygen can be administered through a breath mask attached to the tank. Connecting the supply to a vacsuit is a swift action. Securing the breath mask is a standard action.

",Accessory,200,20,-,"Med size creature for 30 min, connect as swif & secure as stan"
CR,189,Exclusive Locomotion System,"Exclusive Locomotion System: The droid must spend a move action to engage or disengage this locomotion system. While the system is engaged, the droid can only use the move and run actions.

",Locomotion,x0.1,x1,-,"move action to engage system, enabled = can only move, disengaged = cannot move"
CR,189,Extra Legs,"Walking droids are usually bipedal, but a walking droid can be built with three or more legs (usually four) to grant the droid extra stability and carrying capacity. This doubles the cost of the walking locomotion system, but the droid's carrying capacity is 50% higher than that of a bipedal droid of the same Strength. In addition, the droid gains a +5 stability bonus on checks to resist attempts to knock it prone.

",Appendage,x2,-,-,"+50% carry, +5 stability to resist getting knocked prone"
CR,188,Flying,"Flying Droids: Flying droids use engines of some kind to travel more or less wherever they please. They are not hampered by any type of terrain, but tend to be the most expensive.

",Locomotion,200xCFxSp²,-,-,Speed: F-S: 9 M: 12 L-C: 12
CR,139,Fusion cutter,,Appendage,,,,tool mount; 2d6 energy
SGD,52,Gyroscopic stabilizers,"Using an integrated system of gyroscopes, hydraulics, and high-speed processing, this system gives a droid greater stability. The droid gains a +5 stability bonus to checks and defenses to resist attempts to knock it prone. This bonus stacks with the bonus provided by extra legs (see page 189 of the Saga Edition core rulebook).

",Locomotion,2xCFxSp²,4xCF,-,"+5 stability to being knocked prone, stacks with bonus from extra legs"
CR,190,Hand,"Hand: A droid is considered to have a true hand as its gripping appendage includes at least three digits, one of which is opposable. Factory-model 3PO Series protocol droids and Baktoid Combat Automata battle droids come equipped with hands.

",Appendage,50xCF,(5xCF),-,true hand as its gripping appendage
CR,193,Hardened Systems x2,"Droids of Large or greater size can be designed to have internal armor and redundant systems that enable it to continue functioning despite heavy damage. This is represented by a multiplier that increases the bonus hit points and damage threshold based on the droid's size. For example, a Large droid with hardened systems x3 would have +30 hit points and a + 15 bonus to its damage threshold instead of the usual + 10 hit points and +5 bonus to its damage threshold.

",Hardened Systems,1000xCF,(100xCF),Military,Multiplies HP/Threshold based on droid size
CR,193,Hardened Systems x3,"Droids of Large or greater size can be designed to have internal armor and redundant systems that enable it to continue functioning despite heavy damage. This is represented by a multiplier that increases the bonus hit points and damage threshold based on the droid's size. For example, a Large droid with hardened systems x3 would have +30 hit points and a + 15 bonus to its damage threshold instead of the usual + 10 hit points and +5 bonus to its damage threshold.

",Hardened Systems,2500xCF,[250xCF),Military,Multiplies HP/Threshold based on droid size
CR,193,Hardened Systems x4,"Droids of Large or greater size can be designed to have internal armor and redundant systems that enable it to continue functioning despite heavy damage. This is represented by a multiplier that increases the bonus hit points and damage threshold based on the droid's size. For example, a Large droid with hardened systems x3 would have +30 hit points and a + 15 bonus to its damage threshold instead of the usual + 10 hit points and +5 bonus to its damage threshold.

",Hardened Systems,4000xCF,(400xCF),Military,Multiplies HP/Threshold based on droid size
CR,193,Hardened Systems x5,"Droids of Large or greater size can be designed to have internal armor and redundant systems that enable it to continue functioning despite heavy damage. This is represented by a multiplier that increases the bonus hit points and damage threshold based on the droid's size. For example, a Large droid with hardened systems x3 would have +30 hit points and a + 15 bonus to its damage threshold instead of the usual + 10 hit points and +5 bonus to its damage threshold.

",Hardened Systems,6250xCF,(650xCF),Military,Multiplies HP/Threshold based on droid size
CR,190,Heuristic Processor,"Heuristic Processor: This type of processor allows a droid to learn by doing, usually without instruction. The droid is able to reason through several potential solutions to tasks and formulate the best approach. Because of this, a droid with a heuristic processor may use skills untrained, just like any other character. Similarly, the droid can wield a weapon even if it is not proficient in its use (but still takes the normal -5 penalty on attack rolls).

In addition, a droid with a heuristic processor can creatively interpret its instructions, allowing it to complete tasks in a manner that it deems appropriate. A heuristic processor allows a droid to work around its behavioral inhibitors as long as it can justify a given action. For example, a noncombat droid with a heuristic processor can attack and even harm sentient living being as long as it believes that doing so will ultimately save more sentient living beings from harm.

Over time, a droid equipped with a heuristic processor develops a unique personality based on experience. Because of this, memory wipes and restraining bolts are commonly used to ensure that a heuristic processor doesn't allow a droid to stray too far from its intended purpose. Still, some progressive masters actually encourage their droids to break their programming, trusting the droid's judgment to make independent decisions without taking advantage of the situation.

",Processors,2000,5,-,Allows a droid to behave like a normal character would
SGD,53,Hidden core,"Hidden Core (SGtD): The droid has a concealed back-up copy of its personality and the data, skills, and memories it regards as critical to its mission or operation. The copy can be concealed within the droid's main processor or be installed as a hidden secondary data store elsewhere within the droid. The backup restores itself 1d6 days after a memory wipe with a successful DC 20 Use Computer check (roll 1d20+ 10, or 1d20+ the droid's current Use Computer skill modifier, whichever is greater). If unsuccessful, the core tries to restore itself again every 1d6 days. Discovering a hidden core requires a Use Computer check against the droid's Will Defense. The character making the Use Computer check must state that he or she is looking for a hidden core or for anything suspicious. For double the standard cost of a hidden core, the core's installer can automatically provide a Will Defense of 30 for this check.

",Processors,200,1 or -,Restricted,"restores personality 1d6 days after memory wipe DC 20 use Computer, tries gain 1d6 days later on failure, for double the cost for Will Def 30"
SGD,57,Hidden holster,"Some fourth-degree droids lack built-in weapons attached directly to the droids' appendages. This attachment gives a droid access to a weapon without having to visibly carry it. Installed in a droid's leg, the holster can hold a weapon on size category smaller than the droid, or smaller. As a free action, the droid can activate the holster, which opens up, providing access to the weapon. The hidden holster provides the benefit of the Quick Draw feat with whatever weapon the droid is keeping in the holster-the droid can draw or holster the weapon as a swift action. To gain this benefit, the droid must have the feat's + 1 base attack bonus prerequisite.

",Accessory,500xCF,2xCF,Licensed,free to activate& acts as Quick Draw (draw or holster as swif) if has BAB +1
SGD,57,High-Speed Cutting Torch and Welding System,"A droid can be equipped with a powerful cutting torch and a welding system for use in repair operations and for cutting materials, doors, or other items. This bulky and heavy device can be installed only on droids of Medium size or larger. The precision welder can be used for small repairs and for large construction welds, typically in half the time required by a normal welding unit. The cutting torch has a range of 1 square and deals 4d10 damage. When in contact with an object for two or more consecutive rounds, the torch also ignores 5 points of DR and reduces the object's damage threshold by 10 points.

",Accessory,2500,500,Licensed,"only on Med or larger, half time of regular welding, range of 1 sq & 4d10 dam, for 2 or more consecutive rounds ignores 5 pts of DR & reduces thresh by 10"
SGD,57,Holographic game system,"In spite of all the utilitarian functions that a droid can perform, owners might want to use their droids for entertainment. A holographic game system provides fifteen of the galaxy's more popular games, including dejarik and sabacc. The droid can serve as its master's opponent, or it can run the game so its master can play with another being. The game is projected through the droid's holoprojector (sold separately) and does not require a solid surface for game play. The game-system processor is sufficiently advanced to allow a player to interact with the board as if he or she is actually picking up the holographic playing pieces. The game system is adaptable, allowing ten additional games to be added to its database with a successful DC 15 Use Computer check.

",Accessory,300,3,-,"fifteen of the galaxy's more popular games, including dejarik and sabacc"
SGD,60,Holographic image disguiser,"The holographic image disguiser hides a droid's true appearance. A central processor installed in the droid's chassis coordinates several small, full-color, high-resolution holoprojectors installed at various points on the droid's body. The disguise r's processor synchronizes the holographic image with the droid's movements and its vocabulator, making the disguise particularly lifelike. The basic model is essentially a standard holoshroud, granting the droid a + 10 equipment bonus to Deception checks using Deceptive Appearance (see page 64 of the Saga Edition core rulebook). An advanced model, for double the price, includes sensor nodes that track a number of other factors, such as ambient temperature and weather conditions, making the image react to those variables. The advanced model allows the droid to disguise its appearance as a full-round action at no penalty.

",Accessory,20000xCF,20xCF,Restricted,"like standard holoshroud, +10 Deception for Deceptive Appearance, advanced model double the price & activate as full"
CR,188,Hovering,"Hovering Droids: Hovering droids use repulsorlift technology to float slowly above the ground (within 3 meters). They ignore the penalties of difficult terrain.

",Locomotion,100xCFxSp²,-,-,Speed: F-S: 6 M: 6 L-C: 6
SGD,60,ID Dodge,"Some automated security systems check biometric data before granting access to an area. Droids cannot provide retinal scans, fingerprints, or other unique biological features. The 10 dodge simulates such information, allowing a droid to access secure areas. This accessory allows the droid to use its Deception check instead of a Use Computer check on any security device that requires organic biometric identification.

",Accessory,5000,1,Illegal,use Deception instead of Use Computer that requires biometric ID
SGD,60,Improved coordination circuitry,"Droid brains work well in concert with each other, and improved coordination circuitry enhances this ability. This accessory links droids' skill routines, allowing them to aid in tasks more effectively. Each circuit is keyed to a specific ski ll. When a droid with improved coordination circuitry aids another droid with the circuitry, the bonus increases to +4. A droid must be trained in the skill to gain the +4 bonus.

",Accessory,1000,1,-,+4 aid another for droid with same circuitry & must be trained
CR,196,Improved Sensor Package,"Improved Sensor Package: A droid with an improved sensor package gains a +2 equipment bonus on Perception checks. In addition, the droid gains low-light vision, ignoring concealment (but not total concealment) from darkness.

",Sensors,200,2.5,-,"+2 Perception, low-light vision, ignores concealment (but not total) from darkness"
CR,190,Instrument,"Instrument: Instruments are a step up from simple probes. They might be designed to accomplish specific tasks. For example, a droid with a hypodermic syringe as its sole appendage can use the syringe for its intended purpose, but otherwise can only push objects with it. A few instruments are actually designed to clamp, and can thus hold objects, but they are generally delicate. A droid using an instrument of this nature has a carrying capacity (see Encumbrance, page 140) as if its Strength score were one-quarter of its actual value.

",Appendage,5xCF,(1xCF),-,"Simple tasks, carry STR 1/4, push objects"
SGD,60,Interference generator,"This accessory is a favorite of nobles who want to keep their conversations private. A droid with an interference generator emits a low-frequency sound that interferes with any listening equipment such as bugs, microphones, or other audio recording devices. The deluxe version also interferes with video and holographic recording devices. The generator masks everything in the squares adjacent to the droid. Anyone eavesdropping or reviewing recordings of targets protected by an interference generator must make a DC 30 Perception or Use Computer check to pick up even scattered words and phrases.

",Accessory,2500,1,Restricted,DC 30 perception or Use Computer for each sq around droid
SGD,60,Internal defenses,"A droid with internal defenses has built-in defenses that operate independently of the droid. Anyone opening the droid's maintenance or access panels without the droid's permission receives an electric shock as a ld20+5 attack against the character's Fortitude Defense. If the attack succeeds, the character receives damage equal to 1d8 + half the droid's heroic level. The droid is unharmed. The system remains active until disabled (Mechanics DC 25, 1 hour of work) or is depleted after 10 attacks.

",Accessory,10xCF,1xCF,Licensed,"opening access or maintenance panels = 1d20+5 atk v. Fort Def fro dam = 1d8+1/2 HL, 10 attacks"
