BOOK,PAGE,WEB,NPC or PC?,SPECIES,Str,Dex,Con,Int,Wis,Cha,Size,Spd,Vis,Ref,Fort,Will,CONDITIONAL FEAT,SKILLS,TRAITS,SPECIES,PERSONALITY,JEDI, NOBLE, SCOUNDREL,SCOUT, SOLDIER,Basic?,Language 1,Language 2,Language 3,Height,Weight,Child, Young Adult,Adult, Middle Age,Old, Venerable, C/UC Mini?, Unique mini?,  C/UC w/lightsaber,  Unique w/lightsaber,"Refers to SWM & minis w/lightsabers also counted in previous column's tally, counts multiple sculpts as singles                                                                           *numerous examples"
L,211,w,N,Chadra-Fan,,,,,-2,2,S,4,D,,,,,"Mechanics class skill, reroll Mechanics, mtr",with a jury-rig add +1d8 hp,Chadra-Fan,"cheerful, friendly, outgoing, inquisitive, tinkerers",,,,,,Y,Chadra-Fan,Basic,,,,,,,,,,1,1,,,
L,10,w,P,Chagrian,2,-2,,,,,M,6,L,,,,,,"breathe underwater, +5 Fort Def v. radiation",Chagrian,"even-tempered, accepting, loyal, appreciate law and order",4,4,3,2,2,Y,Chagri,Basic,,1.9,95/85,12,16,42,56,75,76+,2,2,,,
C,159,w,N,Chagrian,2,-2,,,,,M,6,L,,,,,,"breathe underwater, +5 Fort Def v. radiation",Chagrian,"even-tempered, accepting, loyal, appreciate law and order",,,,,,Y,Chagri,Basic,,1.9,95/85,12,16,42,56,75,76+,2,2,,,
L,11,w,P,Chiss,,,,2,,,M,6,L,,,,,+1 at first level,,Chiss,"cautious, well-educated, artistic, methodical, pursue power",0,4,4,4,4,N,Cheunh,,,1.85/1.7,85/65,10,13,50,62,79,80+,,,,,
UR,126,w,P,Chiss,,,,2,,,M,6,L,,,,,+1 at first level,,Chiss,"cautious, well-educated, artistic, methodical, pursue power",,,,,,N,Cheunh,,,1.85/1.7,85/65,10,13,50,62,79,80+,*,*,,,
F,192,w,N,Chiss,,,,2,,,M,6,L,,,,,+1 at first level,,Chiss,"cautious, well-educated, artistic, methodical, pursue power",,,,,,N,Cheunh,,,1.85/1.7,85/65,10,13,50,62,79,80+,,1,,,
T,34,w,N,Chistori,2,-2,,,,,M,6,,DR2,,,,,"Rage, in cold -5 Fort",Chistori,"independent, violent, impatient",1*,,4,4,4,N,Chistori,,,,,,,,,,,,,,,
SV,7,w,P,Clawdite,-2,,,,,2,M,6,,,,,,,"Deception to disguise +10, 1/encounter Deception v. Will Def = -5 opp atk",Clawdite,"freedom fighters, independent, hate bigotry and bullies",,,4,4,2,Y,Clawdite,Basic,,1.8/1.6,65/55,11,15,30,49,69,70+,,,,,
C,91,w,N,"Clone, Republic",,,,,,,M,6,,,,,+1 feat at 1st,+1 skill at 1st,"Str 15, Dex 13, Con 10, Int 12, Wis 10, Cha 8, add +2 to one ability","Clone, Republic",bred for obedience and military discipline,,,,,,Y,Basic,,,1.8/1.6,75/55,,,,,,,1,,,,
L,12,w,P,Codru-Ji,,,,,,,M,6,,,,,Dual Weapon Mastery I,,"can hold four items at once, +5 grab attacks",Codru-Ji,"suspicious, family-oriented, loyal",2*,4,4,4,,Y,Codruese,Basic,,1.6,65/60,8,12,44,60,84,85+,,,,,
J,128,w,N,Croke (best guess),-6,-2,-4,2,2,4,D,4,,1,,1,Force Sensitivity,,"as swif appear as S or M creature, Use the Force or Perception vs. Will to see only if Croke unconscious; immune to vaccuum",Croke (best guess),"unpleasant, vicious, selfish",,,,,,Y,Croke,Basic,,,,,,,,,,,,,,
GW,12,w,P,Dashade,,2,,,-2,-2,M,6,,,,,,,"+5 Fort Def v. radiation/heat/cold, reroll Persuasion to intimidate, +5 Fort Def & Will Def v. Use the Force",Dashade,"arrogant, aggressive",,,4,4,4,N,Dashadi,,,1.85,90,10,15,44,69,84,85+,2,,,,
GI,11,w,P,Defel,-2,,,2,,,S,6,,,,,,,"in shadowy illumination or darker = Defel in total concealment, must wear special visor",Defel,"proud, stubborn, manipulative, stealthy",0,2,4,4,,Y,Defel,Basic,,1.4,45,6,10,49,74,89,90+,2,,,,
L,214,w,N,Devaronian (females),,-2,,2,2,,M,6,,,,,SF Deception,,1/encounter stan Perception DC15 to gain +1 atk v. observed,Devaronian (females),"bright, wise, scrupulous, and sharp-tongued",,,,,,Y,Deveronese,Basic,,,,,,,,,,,,,,
W,228,w,N,Devaronian (females),,-2,,2,2,,M,6,,,,,SF Deception,,1/encounter stan Perception DC15 to gain +1 atk v. observed,Devaronian (females),"bright, wise, scrupulous, and sharp-tongued",,,,,,Y,Deveronese,Basic,,,,,,,,,,,,,,
L,214,w,N,Devaronian (males),,2,,,-2,-2,M,6,,,,,SF Deception,,1/encounter stan Perception DC15 to gain +1 atk v. observed,Devaronian (males),"bold, daring, bull-headed, rash, terse, unscrupulous, and stingy",,,,,,Y,Deveronese,Basic,,,,,,,,,,*,,,,
W,228,w,N,Devaronian (males),,2,,,-2,-2,M,6,,,,,SF Deception,,1/encounter stan Perception DC15 to gain +1 atk v. observed,Devaronian (males),"bold, daring, bull-headed, rash, terse, unscrupulous, and stingy",,,,,,Y,Deveronese,Basic,,,,,,,,,,,,,,
K,12,w,P,Draethos,,,2,,,-2,M,6,L,1,,,gain WP Advanced Melee Weapons,,Telepathy +5,Draethos,"off-worlders are intelligent but socially inept, those on homeworld are aggressive and fierce",2,4,4,4,4,Y,Draethos,Basic,,1.8,70,12,17,399,699,780,781+,,,,,
CR,186,w,,"Droid, 1st degree, medium (medical/scientific)",-2,,,2,2,,M,6,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 1st degree, medium (medical/scientific)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 1st degree, small (medical/scientific)",-4,2,,2,2,,S,4,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 1st degree, small (medical/scientific)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 2nd degree, medium (astromech/technical)",,,,2,,-2,M,6,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 2nd degree, medium (astromech/technical)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 2nd degree, small (astromech/technical)",-2,2,,2,,-2,S,4,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 2nd degree, small (astromech/technical)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 3rd degree, medium (protocol/service)",-2,,,,2,2,M,6,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 3rd degree, medium (protocol/service)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 3rd degree, small (protocol/service)",-4,2,,,2,2,S,4,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 3rd degree, small (protocol/service)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 4th degree, medium (combat/security)",,2,,-2,,-2,M,6,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 4th degree, medium (combat/security)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 4th degree, small (combat/security)",-2,4,,-2,,-2,S,4,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 4th degree, small (combat/security)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 5th degree, medium (labor/utility)",4,,,-4,,-4,M,6,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 5th degree, medium (labor/utility)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
CR,186,w,,"Droid, 5th degree, small (labor/utility)",2,2,,-4,,-4,S,4,,,,,,,"Droid, heuristic processor, 2 appendages, +1000cr to spend on add'l systems","Droid, 5th degree, small (labor/utility)",,,,,,,Y*,Binary,Language chosen by designer (usually Basic),,,,,,,,,,,,,,
SGD,11,w,P,"Droid, Astromech Droid",,,,2,,-2,S,6/4,,,,,,"trained in Mechanics, SF Mechanics or SF Use Comp","Droid, start with bonus equipment see SGD","Droid, Astromech Droid",,,,,,,Y,Basic (Understand),Binary,,,,,,,,,,,,,,
SGD,11,w,P,"Droid, Battle Droid",,2,,-2,,,M,6,,,,,1 Armor & 1 Weapon Proficiency,,"Droid, start with bonus equipment see SGD","Droid, Battle Droid",,,,,,,Y,Basic,Binary,,,,,,,,,,,,,,
SGD,11,w,P,"Droid, Labor Droid",2,,,-2,,,M,6,,,,,,"reroll Strength checks & skill, keep better","Droid, start with bonus equipment see SGD","Droid, Labor Droid",,,,,,,Y,Basic,Binary,,,,,,,,,,,,,,
SGD,12,w,P,"Droid, Mechanic Droid",,,,2,,-2,M,6,,,,,,"trained in Mechanics, reroll Mechanics","Droid, start with bonus equipment see SGD","Droid, Mechanic Droid",,,,,,,Y,Basic,Binary,,,,,,,,,,,,,,
SGD,12,w,P,"Droid, Medical Droid",-2,,,2,,,M,6,,,,,,trained in Treat Injury or Know (life sciences) = SF Treat Injury or Know (life sciences),"Droid, start with bonus equipment see SGD","Droid, Medical Droid",,,,,,,Y,Basic,Binary,,,,,,,,,,1,,,,
SGD,12,w,P,"Droid, Probe Droid",,,,,2,-2,M,6,,,,,,"trained in Perception, SF Perception or Stealth","Droid, start with bonus equipment see SGD","Droid, Probe Droid",,,,,,,Y,Basic (Understand),Binary,,,,,,,,,,4,1,,,
SGD,13,w,P,"Droid, Protocol Droid",,-2,,,2,2,M,6,,,,,,"trained in Persuasion, select Skill Training Knowledge (bureaucracy, galactic lore, or social sciences)","Droid, start with bonus equipment see SGD","Droid, Protocol Droid",,,,,,,Y,Basic,Binary,,,,,,,,,,,,,,
SGD,13,w,P,"Droid, Service Droid",-2,,,,,2,M,6,,,,,,"select Skill Training Perception, Knowledge (bureaucracy) or Knowledge (galactic lore)","Droid, start with bonus equipment see SGD","Droid, Service Droid",,,,,,,Y,Basic,Binary,,,,,,,,,,4,2,,,
C,10,w,P,Dug,,2,,,,-2,S,6,,,,,,"reroll Climb or Jump, mtr, can take 10 on Climb & Jump",,Dug,"adversarial, hostile, underdogs, xenophobic, bigoted",0,1,4,4,4,N,Dug,,,1,35/30,9,14,44,59,74,75+,,2,,,
W,312,w,P,Dug,,2,,,-2,-2,S,6,,2,,,SF Acrobatics,"reroll Climb or Jump, mtr",,Dug,"adversarial, hostile, underdogs, xenophobic, bigoted",,,,,,N,Dug,,,1,35/30,9,14,44,59,74,75+,,2,,,
CR,25,w,P,Duros,,2,-2,2,,,M,6,,,,,,"reroll Pilot, mtr",,Duros,"adventurous, intense, proud, fun-loving, gregarious",,2,3,4,3,Y,Basic,Durese,,1.8,70,9,14,35,49,69,70+,,1,,,
UR,127,w,N,Ebruchi,2,,2,,-2,-2,M,6,,,,2,Improved Damage Threshold w/Con 13,,1/enc Persuasion to intimidate to move target -1 CT instead of intimidate (target must be w/in 6sq),Ebruchi,"cruel, ill-mannered pirates, greedy, aggressive",,,,,,N,Ebruchese,,,,,,,,,,,1,,,,
GI,133,w,N,Elomin,,,,2,,-2,M,6,,,,,,,"1/enc spend swif to allow each ally w/in 12 sq to move half spd as reac, +5 Will Def v. mind-affecting effects",Elomin,focused on order,,,,,,Y,Elomin,Basic,,,,,,,,,,,,,,
CR,25,w,P,Ewok,-2,2,,,,,S,4,,,,,SF Survival,"reroll Stealth, mtr","Primitive, Scent",Ewok,"curious, superstitious, courageous",,,,4,4,N,Ewokese,,,1,30,9,13,29,44,59,60+,4,,,,
SV,8,w,P,Falleen,,,,,-2,2,M,6,,,,,,,"hold breath (25x Con score), pheromones (see SV p8), +5 v. Falleen pheromones",Falleen,"withdrawn, cautious to associate with other species",,4,,4,,Y,Falleen,Basic,,1.6/1.4,55/45,18,36,72,139,249,250+,,2,,,
K,13,w,P,Feeorin,2,-2,2,,-2,-2,M,6,L,,2,,,,"1/encounter after successful melee Atk thresh 5 lower, can use 2nd Wind when unconscious moving +3 CT, Stronger by Age",Feeorin,"quick to anger, impersonal, selfish",2,,4,,4,Y,Feeorin,Basic,,2.2,125,11,16,194,324,399,400+,,2,,,
F,14,w,P,Felucian,,,2,-2,,,M,6,L,,,,Force Sensitivity,"reroll Stealth, best","breathe underwater, Force Blast, Primitive, Weapon familiarity (skullblade)",Felucian,"primal, wild mood swings, unpredictable",4*,,,4,4,N,Felucianese,,,1.9,90,8,19,49,70,85,86+,3,,,,
GI,12,w,P,Fosh,,2,-2,,,2,S,6,,,,,,"reroll Deception, mtr","always considered having medpac or med kit, can perform trained only Treat injury uses untrained (from glands)",Fosh,"reserved, bigoted, manipulative, deceptive",3*,4,4,,1,Y,Fosh,Basic,,1.3,40,11,17,55,70,84,85+,,,,,
CR,26,w,P,Gamorrean,2,-2,,,-2,,M,6,,,2,,Improved Damage Threshold,,Primitive,Gamorrean,"brutish, violent, proud, respect physical prowess",,,,,4,Y,Basic (Understand),Gammorean,,1.8,140,6,12,29,39,44,45+,3,,,,
SV,8,w,P,Gand,,,,,2,-2,M,6,D,,,,,,"when using second wind regain extra 5+level, special equipment, limb regeneration",Gand,"humble, self-deprecating",,,,4,4,N,Gand,,,1.6/1.4,80/70,9,14,29,45,60,61+,1,,,,
C,11,w,P,Gen'Dai,,,4,,-2,-2,L,8,,,,,,,"2nd Wind +5hp, hibernation, mental instability after Adult, regeneration 1d10 min, resilient physiology (double thresh if fatal)",Gen'Dai,"introspective, peaceful, patient, but insane as they get older",0,2,2,4,3,Y,Gen'Dai,Basic,,2.5,145,9,200,999,1999,3999,4000+,5,2,,,
W,164,w,N,Geonosian,2,,,-2,-2,-2,M,6/8,L,1,,,"SF Mechanics, WP Advanced Melee Weapons",,"flight, Fort Def +2 v. radiation",Geonosian,"hive-oriented, oppressive to worker class",,,,,,N,Geonosian,,,,,,,,,,,,,,,
C,181,w,N,Geonosian,2,,,-2,,-2,M,6/6,L,,,,,,"flight, Fort Def +5 v. radiation",Geonosian,"hive-oriented, oppressive to worker class",,,,,,N,Geonosian,,,,,,,,,,,,,,,
GI,13,w,P,Givin,-2,,,2,,,M,6,,DR2,2,,,"reroll Knowledge (any), mtr",Immune to vacuum and inhaled chemicals/poisons,Givin,"analytical, logical, mathematical",1*,4,3,4,3,Y,Givin,Basic,,1.8,70,10,14,48,64,79,80+,,,,,
GI,14,w,P,Gotal,,,,,,,M,6,L,,,,,,"read emotions of any sentient w/in 6sq as stan Perception v. Will, can use Sense Force & Surroundings of Use the Force untrained",Gotal,"discreet, seemingly emotionless, but sensitive",4,4,3,3,,Y,Gotal,Basic,,2,85,9,12,40,60,75,76+,*,*,*,*,
F,15,w,P,Gran,,,,-2,,2,M,6,D,,,,Precise Shot with PB Shot,,"no distance penalties on Perception 50sq, can aim by taking one swif action 1/encounter",Gran,"sociable, friendly, ",3,4,4,4,2,Y,Basic,Gran,,1.6,80,10,15,40,62,79,80+,,2,,,
CR,26,w,P,Gungan,,2,,-2,,-2,M,6/4,L,2,,,,"reroll Swim mtr, can take 10","proficient with atlatl & cesta with Simple, hold breath",Gungan,"inquisitive, cautious, suspicious",,,,4,4,Y,Basic,Gunganese,,1.8,70,12,15,35,54,64,65+,1,2,,2,
GI,15,w,P,Herglic,4,-4,,,,,L,6,,,,,SF Gather Info,,Sturdy (gain extra hp with second wind = 5+one-half level),Herglic,"fair, honest, gregarious, generous, crave excitement, but can be vengeful",2,4,4,4,,Y,Herglese,Basic,,2.2,110,15,19,55,79,95,96+,2,1,,1,
SV,155,w,N,Houk,2,,2,,-2,-2,M,6,,1,,,,,can use Str mod to intimidate instead of Cha mod,Houk,"ill-tempered bullies, ruffians, violent",,,,,,Y,Houk,Basic,,,,,,,,,,4,,,,
CR,23,w,P,Human,,,,,,,M,6,,,,,+1 feat at 1st,+1 skill at 1st,,Human,"adaptable, tenacious, flexible, diverse",4,4,4,4,4,Y,Basic,,,1.8/1.6,75/55,11,15,40,59,79,80+,,1,,,
CR,284,w,N,Hutt,2,-6,2,2,,,L,2,,,,,,"reroll Persuasion, best","Will +5 v. Use the Force, can't be tripped or knocked prone",Hutt,"megalomaniac, manipulative",,,,,,Y,Basic,Huttese,,,,,,,,,,2,,,,
C,12,w,P,Iktotchi,,,2,,,-2,M,6,,1,,,,"reroll Pilot, mtr",1/encounter as reac +2 Ref Def,Iktotchi,"emotional but stoic, impatient",3,4,2,4,4,Y,Iktotchese,Basic,,1.8,80,13,18,44,70,89,90+,1,2,,2,
UR,12,w,P,Ishi Tib,,,,2,,,M,6,L,,,,,"reroll Knowledge (life), mtr, reroll Swim & take 10","breathe underwater, beak d6",Ishi Tib,"revere nature, meticulous, exacting",,4,,,,Y,Tibranese,Basic,,1.8,60,6,11,39,59,79,80+,,1,,,
CR,27,w,P,Ithorian,,-2,,,2,2,M,6,,,,2,SF Knowledge (life sciences),"reroll Survival, mtr",Bellow stan d20+cl v. Fort Def in 6sq cone 3d6 dam or half,Ithorian,"calm, peaceful, ecologists",,,,,,Y,Basic,Ithorese,,2,90,13,17,44,69,84,85+,,,,,
SV,9,w,P,Jawa,-2,2,,,,,S,4,D,,,,,"reroll Mechanics mtr, can reroll Survival v. heat & keep better, Mechanics is class skill",with ion weapon add half level to damage,Jawa,"peaceful but cunning, deals with threats in numbers",,,4,4,,N,Jawa,Jawa Trade Language,,1,25/20,9,14,39,59,79,80+,,,,,
W,164,w,P,Jawa,-2,2,,,,-2,S,4,D,,,,,"reroll Mechanics when repairing an object, vehicle, or droid, mtr, can take 10 on Survival in desert",,Jawa,"peaceful but cunning, deals with threats in numbers",,,,,,N,Jawa,Jawa Trade Language,,1,25/20,9,14,39,59,79,80+,,,,,
C,12,w,P,Kaleesh,,-2,2,-2,,2,M,6,D,,,,SF Survival,"reroll Endurance, mtr",+5 Will Def v. mind-affecting effects,Kaleesh,"warlike, territorial, value family, tribe, honor, sacrifice",2*,4,1,4,4,Y,Kaleesh,Basic,,1.8/1.6,80/75,9,24,40,55,79,80+,2,,,,
C,13,w,P,Kaminoan,,,,2,-2,,M,6,,,2,,SF Treat Injury,,,Kaminoan,"superior to others, intolerant of imperfection, self-improvement",0,4,1,4,4,Y,Kaminoan,Basic,,2.7/2.1,70/65,6,10,39,59,79,80+,,1,,,
W,164,w,P,Kaminoan,,,2,,-2,,M,6,,,2,,,"reroll Treat Injury & Know (life sciences), mtr",may take 10 on Survival checks in aquatic terrain,Kaminoan,"superior to others, intolerant of imperfection, self-improvement",,,,,,Y,Kaminoan,Basic,,2.7/2.1,70/65,6,10,39,59,79,80+,,1,,,
CR,28,w,P,Kel Dor,,2,-2,,2,,M,6,L,,,,,"reroll Use the Force to search feelings, best",,Kel Dor,"calm, kind, but quick justice, even vigilantism",4,4,,4,4,Y,Basic,Kel Dor,,1.8,70,11,15,44,59,69,70+,,,,,
C,14,w,P,Kerkoiden,,,-2,,2,,M,6,,,,,,,"+2 dam v. target that has been damaged since last turn, can use Wis to replace Cha on Deception & Persuasion",Kerkoiden,"cunning, pushy, suspicious, arrogant",2,4,4,,4,Y,Kerkoidese,Basic,,1.4,55,11,18,45,70,90,91+,1,,,,
K,14,w,P,Khil,,,-2,2,,2,M,6,,,,,,,"1/encounter can treat skill as if taken 10 (see book), can aid another as a swif action (see book), do not starve",Khil,"intelligent, dedicated, peace-loving but vindictive if impeded",3,4,4,4,4,Y,Khilese,Basic,,1.5,60,10,15,49,74,89,90+,,,,,
UR,131,w,N,Killik,,,2,-2,,,M,6,L,1,,,,,"Joiners (target to 0 hp see p.131), telepathy w/Killiks 1 km, multiple atks reduced by 2, claws d6",Killik,instinct to expand territory and numbers,,,,,,N,Killik,Sy Bisti,,,,,,,,,,1,1,1,1,
K,15,w,P,Kissai,,,,,-2,2,M,6,,,,,lanvorak simple not exotic,,"if receive morale or insight bonus add +1, 1/encounter Uncanny Dodge I or II",Kissai,capable allies that work with others,,4,4,,,Y,Sith,Basic,,1.8,90,10,15,30,42,59,60+,1,1,1,1,
L,13,w,P,Klatoonian,,,2,-2,-2,,M,6,,,,2,,,,Klatoonian,"loyal, resolute, obedient, isolated",1*,0,,4,4,N,Huttese,,,1.8,80/75,9,14,49,69,89,90+,4,2,,1,
UR,12,w,P,Krevaaki,,,,,2,-2,M,6,,1,1,,SF Climb,Climb +2,"Grapple +2, Sense Motive from Perception against Krevaaki is -5",Krevaaki,"peaceful, spiritual, seek wisdom through exploration",4,4,,4,,Y,Dromnyr,Basic,,2,65,12,17,62,94,129,130+,,1,,1,
J,111,w,N,Krevaaki,,,,,2,-2,M,6,,1,1,,,Climb +2,"Grapple +2, Sense Motive from Perception against Krevaaki is -5",Krevaaki,"peaceful, spiritual, seek wisdom through exploration",,,,,,Y,Dromnyr,Basic,,,,,,,,,,,,,,
UR,135,w,N,Lugubraa,2,-2,2,,-2,,M,6,D,,,,Improved Damage Threshold,,"d6 claws, d4 bite, lockbite = successful grapple atk for +5 grapple w/same target, after 50 years age +d4+2 Int pts, max 8 before 50",Lugubraa,"ravenous, hungry, animalistic",,,,,4,N,Lugubraal,,,,,,,,,,,1,3,,3,
GW,12,w,P,Lurmen,-2,,,,2,,S,4/8,,,,,,take 10 on Climb,"primitive, if trained in Treat Injury reduce DCs by Wis mod, Roller: swif +4 spd (limited actions) swif to emerge",Lurmen,"friendly, cautious, pacifist, prefer trickery to violence",,2,4,4,0,Y,Basic,Lurmese,,1,20,12,18,35,60,75,76+,,,,,
