BOOK,PAGE,FORCE POWER,Desc.,"Action to activate","Action to maintain",Target,Sq.,LOS,EFFECT,   Dark/Light,   Lightsaber form   ,  Mind-affect.,  Telekinetic,  Unleashed
F,85,"Corruption 
[dark side]","You use the Force to send a bolt of pure dark side vileness into an enemy. Time: Standard action. Target: One creature within 12 squares and within line of sight.

Make a Use the Force check: The result of the check determines the effect, if any. Compare the result to the target's Fortitude Defense. If the check result equals or exceeds the target's Fortitude Defense, the target is affected.

DC 15: The target takes 2d6 Force damage, and half that amount again at the start of its turn. If your Use the Force check equals or exceeds the target's Fortitude Defense by 5 or more, the target takes half that damage again in the following round.

DC 20: As DC 15, except the target takes 3d6 points of damage.

DC 25: As DC 15, except the target takes 4d6 points of damage.

DC 30: As DC 15, except the target takes 5d6 points of damage.

The target adds a size modifier to its Fortitude Defense: Colossal, +50; Gargantuan, +20; Huge, +10; Large, +5; Medium and smaller, +0.

Special: You can spend a Force Point when you successfully damage a target by using this power to have all creatures adjacent to the target take half this damage if the Use the Force check also exceeds their Fortitude Defense. These secondary targets do not take additional damage in the following round.

Unleashed: When you successfully damage a target by using the corruption power and you spend a Destiny Point, the target takes the additional half damage each round for 5 rounds instead of just 1 round.

",stan,,1,12,Y,"DC15: Use the Force v. Fort Def, 2d6 dam & half next turn if exceed by 5 or more
DC20: Use the Force v. Fort Def, 3d6 dam & half next turn if exceed by 5 or more
DC25: Use the Force v. Fort Def, 4d6 dam & half next turn if exceed by 5 or more
DC30: Use the Force v. Fort Def, 5d6 dam & half next turn if exceed by 5 or more
spend a Force Point for all adjacent to target take half once if over their Fort Def
Unleashed: when successfully damage target with Corruption, takes half damage next 5 rounds",D,,,,x
J,24,Crucitorn,"You can ignore the debilitating effects of physical pain and focus despite great physical trauma. Time: Reaction (to an attack or Force power). Target: You. 

Make a Use the Force check: The result of the check determines the effect, if any. 

DC 15: you gain a +5 Force bonus to your damage threshold against any damage you take from the attack or Force power. 

DC 20: As DC 15, except the Force bonus increases to +10. 

DC 25: As DC 15, except the Force bonus increases to +15. 

DC 30: As DC 15, except the Force bonus increases to +20. 

Special: You can spend a Force Point to increase the bonus to your damage threshold by an additional +5.

",reac,,you,,,"DC15: +5 threshold against damage from Force attack or power
DC20: +10 threshold against damage from Force attack or power
DC25: +15 threshold against damage from Force attack or power
DC30: +20 threshold against damage from Force attack or power
spend a Force Point for +5 threshold",,,,,
J,25,Cryokinesis,"You can use the Force to draw heat away from an object, causing its temperature to drop rapidly. Time: Standard action. Target: One unattended object* within 12 squares of you and in your line of sight. 

Make a Use the Force check: The result of the check determines the effect, if any. 

DC 20: The object becomes cold to the touch and more fragile. Reduce the object's DR by 5 until the end of your next turn. Additionally, if the object is a mechanical or electronic device, it automatically moves -1 step down the condition track. 

DC 25: As DC 20, except the object's DR is reduced by 10. 

DC 30: As DC 20, except the object's DR is reduced by 15. 

DC 35: As DC 20, except the object's DR is reduced by 20. 

Special: You can spend a Force Point to increase the penalty to the object's DR by 5. An object moved to the bottom of the condition track by this power ceases to function until it is repaired, but is otherwise unharmed. You can maintain cryokinesis from round to round, extending the normal duration of the DR penalty (though the object does not move farther down the condition track). Maintaining the cryokinesis power is a swift action and you do not make a new Use the Force check each round. If you take damage while maintaining cryokinesis, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.

",stan,swif,1,12,Y,"DC20: unattended object's DR reduced by 5, if mechanical or electronic moves -1 CT
DC25: unattended object's DR reduced by 10, if mechanical or electronic moves -1 CT
DC30: unattended object's DR reduced by 15, if mechanical or electronic moves -1 CT
DC35: unattended object's DR reduced by 20, if mechanical or electronic moves -1 CT
spend a Force Point to decrease DR by 5",,,,,
CR,96,"Dark Rage 
[dark side]","You become enraged as the dark side flows through you. Time: Swift action. Target: You.

Make a Use the Force check. The result of the check determines the effect, if any:

DC 15: You gain a +2 rage bonus on melee attack rolls and melee damage rolls until the end of your turn.

DC 20: As DC 15, except the rage bonuses increase to +4.

DC 25: As DC 15, except the rage bonuses increase to +6.

Special: While consumed by rage, you cannot use skills or perform tasks that require patience or concentration.

You can spend a Force Point to extend the duration of your dark rage until the end of the encounter.

Unleashed:  When you use the dark rage power, you can spend a Destiny Point to gain a +10 rage bonus on melee attack rolls and damage rolls for the remainder of the encounter.

",swif,,you,,,"DC15: +2 melee Atk & dam until end of next turn
DC20: +4 melee Atk & dam until end of next turn
DC25: +6 melee Atk & dam until end of next turn
spend a Force Point to extend rage until end of encounter
Unleashed: +10 melee attack & damage rolls rest of encounter",D,,,,x
W,310,"Dark Transfer 
[dark side]","You use the dark side of the Force to restore vitality to a living ally. Time: Standard action. Target: One other living creature touched.

Make a Use the Force Check: The result of the check determines the effect, if any:

DC 15: The target heals a number of hit points equal to your character level.

DC 20: The target heals a number of hit points equal to 2× your character level.

DC 25: The target heals a number of hit points equal to 3× your character level.

DC 30: The target heals a number of hit points equal to 4× your character level.

Special: Each time you use dark transfer, you move -1 persistent step down the condition track. You must rest for 8 hours to remove this condition. You may spend a Force Point to avoid moving down the condition track when you use this Force power.

",stan,,1,touch,,"DC15: heals hp = your character level
DC20: heals hp = 2 x your character level
DC25: heals hp = 3 x your character level
DC30: heals hp = 4 x your character level                                                                                                                 
you move -1 CT, must rest 8 hours to remove this condition & gain 1 DSP avoid moving CT by spending Force Point
Destiny Point to revive dead creature w/in 1 round of death (DC25), creature unconscious & no hp healed",D,,,,
L,53,"Dark Transfer 
[dark side]","You use the dark side of the Force to restore vitality to a living ally. Time: Standard action. Target: One other living creature touched.

Make a Use the Force Check: The result of the check determines the effect, if any:

DC 15: The target heals a number of hit points equal to your character level.

DC 20: The target heals a number of hit points equal to 2× your character level.

DC 25: The target heals a number of hit points equal to 3× your character level.

DC 30: The target heals a number of hit points equal to 4× your character level.

Special: Each time you use dark transfer, you move -1 persistent step down the condition track. You must rest for 8 hours to remove this condition. You may spend a Force Point to avoid moving down the condition track when you use this Force power.

",stan,,1,touch,,"DC15: heals hp = your character level
DC20: heals hp = 2 x your character level
DC25: heals hp = 3 x your character level
DC30: heals hp = 4 x your character level                                                                                                                 
you move -1 CT, must rest 8 hours to remove this condition & gain 1 DSP avoid moving CT by spending Force Point",D,,,,
J,30,"Deflecting Slash 
[lightsaber form]","You use the momentum from your effort to deflect a projectile to strike at an adjacent opponent. Time: Reaction (when targeted by a non-area ranged attack). Targets: You plus one enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: Compare the result of your Use the Force check against the attack roll of the incoming attack. If your Use the Force check equals or exceeds the incoming attack roll, the attack deals half damage on a hit. Additionally, you can make a single melee attack with a lightsaber against any one target within your reach after the damage is resolved. 

DC 20: As DC 15, except you deal +1 point of damage to the target of your lightsaber attack on a hit. 

DC 25: As DC 15, except you deal +3 points of damage to the target of your lightsaber attack on a hit. 

DC 30: As DC 15, except you deal +5 points of damage to the target of your lightsaber attack on a hit. 

Lightsaber Form (Soresu): If you have the Soresu talent, you can spend a Force Point to redirect the incoming attack (as per the Redirect Shot talent) at any other target within 6 squares of you. 

Special: You can spend a Force Point to take no damage from the incoming attack if your skill check equals or exceeds it attack roll. 
",reac,,you,,,"DC15: Use the Force v. non-area ranged attack roll for half dam, make single melee atk v. one target in reach after dam 
DC20: Use the Force v. attack roll for half dam, make single melee atk v. one target in reach after dam +1 dam
DC25: Use the Force v. attack roll for half dam, make single melee atk v. one target in reach after dam +3 dam
DC30: Use the Force v. attack roll for half dam, make single melee atk v. one target in reach after dam +5 dam
Lightsaber form (Soresu): spend a Force Point to redirect incoming atk at target w/in 6 sq
spend a Force Point for no damage from incoming atk",,x,,,
L,53,"Detonate 
[telekinetic]","You can perceive points of weakness within an object and use the Force to telekinetically press on those points, shattering the object. Time: Standard action. Target: One unattended object* within 12 squares of you and within your line of sight.

Make a Use the Force Check: The result of the check determines the effect, if any:

DC 20: The object takes 4d6 points of damage.

DC 25: The object takes 6d6 points of damage.

DC 30: The object takes 8d6 points of damage.

DC 35: The object takes 10d6 points of damage.

Special: You may spend a Force Point when you activate this power to increase the damage dealt by +2d6.

",stan,,1,12,Y,"DC20: object takes 4d6 damage
DC25: object takes 6d6 damage
DC30: object takes 8d6 damage
DC35: object takes 10d6 damage
spend a Force Point to use increase damage by +2d6",,,,x,
J,30,"Disarming Slash 
[lightsaber form]","You strike at your opponent's weapon, attempting to rip it from his grasp. Time: Standard action. Target: One enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: Make a single melee attack with a lightsaber against an adjacent opponent. If the attack deals damage, you can use your Use the Force check result in place of an attack roll to make an immediate disarm attempt against the target. If you succeed at your disarm attempt, you can have the weapon drop to the ground or call it to your own hand (assuming you have a free hand with which to hold the weapon). 

DC 20: As DC 15, except your target gains only a +5 bonus to Reflex Defense to resist being disarmed (instead of a +10 bonus). 

DC 25: As DC 15, except your target gains only a +2 bonus to Reflex Defense to resist being disarmed (instead of a +10 bonus). 

DC 30: As DC 15, except your target gains no bonus to Reflex Defense to resist being disarmed (instead of a +10 bonus). 

Lightsaber Form (Shii-Cho): If you have the Shii-Cho talent, you can use this power as a reaction to being attacked by an adjacent opponent. 

Special: You can spend a Force Point to deal damage to the target's weapon equal to the damage you dealt to the target, provided you successfully disarm that opponent.
",stan,,1,,,"DC15: if damage adjacent enemy can use Use the Force as a disarm attempt 
DC20: if dam adjacent enemy can use Use the Force as a disarm attempt with target getting only +5 to resist
DC25: if dam adjacent enemy can use Use the Force as a disarm attempt with target getting only +2 to resist
DC30: if dam adjacent enemy can use Use the Force as a disarm attempt with target getting +0 to resist
Lightsaber form (Shii-Cho): can use as a reac
spend a Force Point to deal dam to weapon equal to target's dam if successful disarm",,x,,,
J,25,Drain Energy,"You can draw power out of powered objects, such as a blaster's power pack or a power generator. Time: Standard action. Target: One powered weapon or object* within 6 squares of you and in your line of sight.

Make a Use the Force check. The result of the check determines the effect, if any. 

DC 20: You drain the energy from the energy cell or cells powering a Small or smaller weapon or powered object. You completely drain the object of its energy, and it cannot be used until its energy cells are replaced. 

DC 25: As DC 20, except you drain a Medium or smaller weapon or object. 

DC 30: As DC 20, except you drain a Large or smaller weapon or object. 

DC 35: As DC 20, except you drain a Huge or smaller weapon or object. If the object is being powered by a power generator, you drain all of the power from that instead. 

Special: You can spend a Force Point to increase the size of the object that can be drained by one size category (up to Gargantuan).

[[Personal note: 

Draining droids: If you allow droids to be affected by this power, a GM might give a -1 circumstance modifier per each two CLs of the target droid. 

Draining a lightsaber: Repairing a short circuited lightsaber is just a diceless action taking a minute as stated on page 60 of the JATM. Simply replacing the energy cell should be a lot easier than that.[/quote]Nice find! I think it should likewise take a minute to repair a Drained lightsaber as it does to repair a ""shorted"" lightsaber. 

If you ""Drain"" a blaster, the target can just ""reload"" another power pack and make it work again. There's nothing in the rules that disallows reloading a lightsaber. But I can't find anything in the rules that allows it either. It's not like it has an easy-to-replace power pack like a blaster weapon. I've looked at the inner-workings of a lightsaber and there doesn't seem to be any easy way of replacing the energy cell. The energy cell seems well integrated into the weapon. Perhaps a GM would allow you to use the Repair Object application of the Mechanics skill, but this normally takes 1 hour.]]
",stan,,1,6,Y,"DC20: drain energy from Small or smaller weapon or powered object
DC25: drain energy from Medium or smaller weapon or powered object
DC30: drain energy from Large or smaller weapon or powered object
DC35: drain energy from Huge or smaller weapon or powered object
spend a Force Point to increase the size by one size category (up to Gargantuan)",,,,,
J,30,"Draw Closer 
[lightsaber form, telekinetic]","You grab an opponent with the Force, drawing him into the path of your weapon. Time: Standard action. Target: One enemy within 6 squares of you and in your line of sight. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: If your target is Medium or smaller in size and is neither grabbed nor grappled, you immediately pull it into the nearest unoccupied space adjacent to you (if no space adjacent to you is a legal space for the target due to its size, the power fails). You can then make a single melee attack with a lightsaber against the target. 

DC 20: As DC 15, except your target may be Large or smaller. 

DC 25: As DC 15, except your target may be Huge or smaller. 

DC 30: As DC 15, except your target may be Gargantuan or smaller. 

Lightsaber Form (Niman): If you have the Niman talent, you can target a creature within 12 squares (instead of 6 squares). 

Special: You can spend a Force Point to pull the target into any adjacent space.

Note: Unlike other lightsaber form powers, this power can be Rebuked

",stan,,1,6,Y,"DC15: pull Med creature that is not grabbed/grappled into nearest unoccupied space adjacent to you & atk
DC20: pull Large creature that is not grabbed/grappled into nearest unoccupied space adjacent to you & atk
DC25: pull Huge creature that is not grabbed/grappled into nearest unoccupied space adjacent to you & atk
DC30: pull Gar creature that is not grabbed/grappled into nearest unoccupied space adjacent to you & atk
Lightsaber form (Niman): can target a creature 12 sq away
spend a Force Point to pull target to any adjacent space",,x,,x,
K,50,Energy Resistance,"You use the Force to protect yourself from damage caused by energy, sonic, fire, cold and electrical sources. Time: Standard action. Target: You.

Make a Use the Force check. The result of the check determines the effect, if any:

DC 20: You gain DR 5 against energy damage until the beginning of your next turn.

DC 25: As DC 20, except DR increases to 10.

DC 30: As DC 20, except DR increases to 15.

DC 35: As DC 20, except DR increases to 20.

Special: You can spend a Force point to use this power as a swift action.

You can maintain energy resistance from round to round, extending the normal duration. Maintaining the energy resistance power is a swift action. If you take damage while maintaining energy resistance, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.

[[Personal note: Does not protect against lightsabers, lightsabers ignore all DR.]]

",stan,swif,you,,,"DC20: DR5 v. energy damage
DC25: DR10 v. energy damage
DC30: DR15 v. energy damage
DC35: DR20 v. energy damage
spend a Force Point to use as a swif action",,,,,
L,54,"Enlighten 
[light side, mind-affecting]","You reach out to an ally telepathically, sharing visions of the near future to give the ally an edge or to protect the ally from harm. Time: Swift action or reaction. Target: One ally within 12 squares of you and in your line of sight.

Make a Use the Force check. The target may use the check result instead of one attack roll, skill check, or opposed check it makes before the start of your next turn, or the target can use the check result in place of one of its defenses until the start of your next turn.

Special: You may spend a Force Point when you activate this power to prolong the effect until the end of your next turn.

",reac,,ally,12,Y,"target may use your check instead of one attack, skill, or opposed check, or to replace a defense                    
spend Force Point to prolong until end of your next turn, not the start",L,,x,,
J,31,"Falling Avalanche 
[lightsaber form]","You raise your lightsaber above your head and then bring it crashing down on your opponent with incredible force. Time: Standard action. Target: You plus one enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 15: You can make a single melee attack with a lightsaber against the target, provided that it is no more than one size category larger than you. If your attack deals damage, you can push the target one square away from you, and then move into the space that the enemy just vacated. Neither your movement nor the target's movement provokes attacks of opportunity. You cannot move a target that is grabbed or grappled. 

DC 20: As DC 15, except you can push the target 2 squares and can move through spaces your target passed through to end adjacent to your target. 

DC 25: As DC 15, except you can push the target 3 squares and can move through spaces your target passed through to end adjacent to your target. 

DC 30: As DC 15, except you can push the target 4 squares and can move through spaces your target passed through to end adjacent to your target. 

Lightsaber Form (Djem So): If you have the Djem So talent, after successfully activating this power you gain one temporary Force Point which can only be used to activate the Djem So talent. If this temporary Force Point is not used before the end of the encounter, it is lost. 

Special: You can spend a Force Point to knock your opponent prone at the end of its forced movement. 

",stan,,you,,,"DC15: against target in reach if not more than 1 size larger, if deal dam can push 1 sq & then move into 
their space which does not provoke atk of opp for either, not if grappled or grabbed
DC20: can push 2 sq & move through spaces target passed 
DC25: can push 3 sq & move through spaces target passed
DC30: can push 4 sq & move through spaces target passed
Lightsaber form (Djem So): gain one temporary Force Point to be used only for Djem So before end of enc
spend a Force Point to knock opponent prone at the end of forced move",,x,,,
CR,96,Farseeing,"You gain a vague, momentary impression of events happening around a particular being in some distant place. Time: Full-round action. Target: One creature you know or have met before.

Make a Use the Force check. If your check result is less than the target’s Will Defense, you gain no information (including whether the target is alive or dead) and cannot use this Force power against the same target for 24 hours. If your check result equals or exceeds the target’s Will Defense, you can sense whether the target is alive or dead and gain a vague sense of its immediate surroundings, what it’s currently doing, and any strong emotions it is presently feeling. A dead target has a Will Defense of 30 for purposes of this Force power.

Special: If you successfully use this Force power, you can spend a Force Point to gain a clear mental image of the target’s surroundings, as well as other creatures and objects within 6 squares of it.

",full,,1,,,"Use the Force v. target's Will Def, cannot reuse for 24 hours, can get a sense of target
spend a Force Point for a clear image w/in 6 squares of target's surroundings",,,,,
K,50,"Fear 
[dark side, mind-affecting]","You summon the power of the dark side to instill fear in your enemies. Time: Swift action. Target: One creature within 12 squares and within line of sight.

Make a Use the Force check. The result of the check determines the effect, if any:

Compare the result to the target's Will Defense. If the check result equals or exceeds the target's Will Defense, the target is affected as determined by the results of your Use the Force check. This is a fear effect.

DC 15: The target can take only one standard action on the next turn.

DC 20: The target can take only one move action on the next turn.

DC 25: The target can take only one swift action on the next turn.

DC 30: The target can take no actions on its next turn.

Special: When you successfully use this power on an opponent, you can spend a Force Point to impose a -2 penalty to all of the opponent's Defenses until the beginning of your next turn.
",swif,,1,12,Y,"DC15: Use the Force v. Will Def, if equals target can take only 1 stan on next turn
DC20: Use the Force v. Will Def, if equals target can take only 1 move on next turn
DC25: Use the Force v. Will Def, if equals target can take only 1 swif on next turn
DC30: Use the Force v. Will Def, if equals target can take no actions on next turn
when successful, can spend FP to make all their Def -2 until your next turn",D,,x,,
J,31,"Fluid Riposte 
[lightsaber form]","You smoothly turn aside an opponent's melee attack, stepping in to deliver your own attack. Time: Reaction (when an adjacent opponent makes a melee attack against you). Targets: You plus one enemy within your reach. 

Make a Use the Force check. Compare the result of your Use the Force check against the attack roll of the incoming attack. If your Use the Force check equals or exceeds the incoming attack roll, the attack deals half damage on a hit. You can then immediately move to any other square adjacent to your attacker and make a single melee attack with a lightsaber against it. This movement does not provoke attacks of opportunity. 

Lightsaber Form (Djem So): If you have the Djem So talent, after successfully activating this power you gain one temporary Force Point which can only be used to activate the Djem So talent. If this temporary Force Point is not used before the end of the encounter, it is lost. 

Special: You can spend a Force Point to treat the attacker as flat-footed for purposes of your lightsaber attack. 
",reac,,you,,,"Use the Force v. melee attack for half dam & move adjacent to attacker & make single atk, no Atk of Opp
Lightsaber form (Djem So): gain one temporary Force Point to be used only for Djem So before end of enc
spend a Force Point to treat attacker as flat-footed",,x,,,
