BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
GW,22,Bantha Herder,"When you damage a Large or smaller creature with a ranged attack, compare the result of your attack roll to the target's Will Defense. If your result equals or exceeds the target's Will Defense, you can move the target 1 square in any direction as a free action. If your ranged attack deals damage to multiple eligible creatures, you can use this benefit against all of them. You can't move a target that's being grabbed or grappled, and you can't move a target into a solid object or into another creature's fighting space. [Dev: Bantha Herder and Forceful Blast are meant to be mutually exclusive]
","Proficient with weapon used*, BAB +1",if dam a Large or smaller creature with a ranged atk compare to Will Def & can move target(s) 1 sq in any direction as free,,,x,,x,"[ranged(grenade, fired, thrown)][damage], [combat][offensive], [ranged attacks]"
CR,82,Bantha Rush,"After making a successful melee attack against an opponent up to one size category larger than you, you can choose to move that opponent 1 square in any direction as a free action. You can't bantha rush an opponent that's being grabbed or grappled, and you can't bantha rush your opponent into a solid object or another creature's fighting space. Unleashed: When you use the Bantha Rush feat, you can spend a Destiny Point to automatically increase the distance you move your target by 5 squares and knock your target prone.","Str 13, BAB +1",Push opponent 1 square after successful melee attack,,,,,x,"[melee(armed, unarmed)][ok], [combat][offensive], [strength], "
GW,23,Battering Attack,"Whenever you successfully move a creature with the Bantha Rush feat, you also knock that target prone.","STR 13, BAB +1, Bantha Rush, Trip",can knock target prone if you move target with Bantha Rush,x,,,,x,"[melee(armed, unarmed)][ok], [combat][offensive]"
R,31,Binary Mind,"Whenever an enemy tries to use a mind-affecting effect against you, the enemy must roll twice and keep the lower result.",Cerean,enemy must roll mind-affecting effects twice & keep lower,,,,,,"[species(cerean)], [Will Defense], [combat][defensive]"
L,34,Biotech Specialist,"You can modify a Yuuzhan Vong biotech-based device, suit of armor, weapon, or vehicle so that it gains a specific trait. Specific traits are listed in the chart on page 35. You can perform only one modification at a time. Unless noted otherwise, you cannot grant more than one benefit to a single device, suit of armor, weapon, or vehicle, and you cannot apply the same benefit more than once. Before beginning the modification, you must pay one-tenth the cost of the device, suit of armor, weapon, or vehicle you wish to modify or 1,000 credits, whichever is more. Completing the modification requires one day per 1,000 credits of the modification cost. At the end of this time, make a DC 20 Mechanics check; you can't take 10 or take 20 on this check. If the check succeeds, the modification is completed successfully, and the object gains the desired trait. If the check fails, you lose all credits spent making the modification, and the object doesn't gain the desired trait. However, you may start over if you wish. Due to the specialized nature of biotechnology, only other characters with the Biotech Specialist feat can assist you, reducing proportionately the time needed to complete the modification. At the end of the modification process, they can make a Mechanics check to aid your check. The market value of a modified item is equal to the base cost of the item + double the cost of the modifications made to it (not including credits wasted on failed modification attempts). 
BIOTECH ARMOR TRAIT: 
Agile Armor: The armor's maximum Dexterity bonus increases by 1. 
Fortifying Armor: The armor's equipment bonus to Fortitude Defense increases by 1. 
Protective Armor: The armor's armor bonus to Reflex Defense increases by 1. 
BIOTECH DEVICE TRAIT: 
Add Device to Creature: Alter a bioengineered creature to accept a biotech or standard technological enhancement such as a miniaturized sensor pack. 
Enhanced Strength: Increase the device's Strength score by 2. 
Improved Durability: The device's damage reduction increases by 1, and it gains extra hit points equal to one-quarter of its maximum hit points. 
Mastercraft Device: Skill checks made using the device gain a +1 equipment bonus, or the device's existing equipment bonus increases by 1. 
BIOTECH VEHICLE TRAIT: 
Dovin Basal Enhancement: Increase the effects of a dovin basal to grant one of the following benefits to a starship:  +1 additional square of movement at starship scale, +2 SR, or +1 die of damage when using a dovin basal. 
Enhanced Dexterity: Increase the vehicle's Dexterity score by 2. 
Improved Speed: Increases the vehicle speed by one-quarter of its base speed (minimum 1 square) 
BIOTECH WEAPON TRAIT:
Improved Accuracy: The weapon gains a +1 equipment bonus on attack rolls. 
Improved Damage: The weapon deals +2 points of damage on a successful hit. If the weapon has a damage multiplier (for example, 6d10x2), apply the extra damage before applying the multiplier. 
Selective Fire: An autofire-only ranged weapon can be set to fire single shots, or a single-shot ranged weapon that doesn't have a burst radius can be made to have an autofire mode. 
Special: Nobles and scoundrels may add this feat to their class list of bonus feats. This feat allows you to make Treat Injury checks on biotechnology without the -5 penalty.",Trained in Mechanics,modify a biotech item to give a special trait,,x,x,,,"[skill(mechanics], [craft]"
L,35,Biotech Surgery,"You can install a biotech prosthesis onto a living being. The surgical procedure takes 1 hour of uninterrupted work, after which you must make a DC 20 Treat Injury check. If the check succeeds, the prosthesis is installed correctly. If the check fails, the prosthesis is not installed properly; however, you can try again after another uninterrupted hour of surgery. Special: You can install a biotech prosthesis on yourself, but you take a -5 penalty on the Treat Injury skill check. If you have the Surgical Expertise feat (CR page 88), you can install a biotech prosthesis in 10 minutes instead of 1 hour.",Trained in Treat Injury,install biotech prosthesis,,x,,,,[skill(treat injury)]
F,32,Blaster Barrage,"When you make an attack with a weapon set on autofire that deals damage to at least one target within the designated area, you grant a +2 circumstance bonus on any of your allies' autofire attacks made against that same target until the beginning of your next turn.","Coordinated Attack, BAB +2",+2 Atk to allies with autofire if you're successful with autofire,,,,,x,"[ranged(fired)], [autofire], [combat][offensive]"
GI,25,Bone Crusher,"When you deal damage to a grappled opponent, the opponent also moves -1 step on the condition track.","Crush, Pin, BAB +1","When you deal damage to grappled target, move it -1 CT",,,,,x,"[melee(unarmed)], [grapple], [pin], [combat][offensive]"
R,31,Bothan Will,"Whenever an attack or skill check targets your Will Defense and fails to equal or exceed it, you gain a +2 circumstance bonus to your Will Defense until the start of your next turn.",Bothan,"if attack v. Will Def fails, gain +2 Will Def until start of your next turn",,,,,,"[species(bothan)], [Will Defense], [combat][defensive]"
R,31,Bowcaster Marksman,"Whenever you spend a Force Point to add to an attack with a bowcaster, if you hit the target, you gain a competence bonus to your damage roll equal to the amount added to the attack.",Wookiee,"when spend Force Point to atk w/bowcaster, add result to dam too",,,,,,"[ranged(fired)], [species(wookiee)], [bowcaster], [combat][offensive]"
GI,25,Brilliant Defense,"Once per encounter, you can add your Intelligence bonus to your Reflex Defense as a reaction; this benefit lasts until the start of your next turn.",Int 13,1/enc add Int mod to Ref Def as reac until your next turn,x,x,,,,"[intelligence], [reflex defense], [combat][defensive]"
L,35,Brink of Death,"When you deal sufficient damage on an attack to kill a target, you may instead choose to reduce the target to 0 hit points, leaving it unconscious but alive. Normal rules for being at 0 hit points apply (see CR page 146).",,"if you deal damage that kills, can reduce to 0 hp instead",x,,,,x,"[ranged(grenade, fired, thrown)][damage], [melee(armed, unarmed)], [combat][offensive]"
CR,82,Burst Fire,"When using a ranged weapon with autofire capability in autofire mode, you may fire a short burst as a single attack against a single target. You take a -5 penalty on the attack roll but deal +2 dice of damage. For example, a weapon that deals 3d10 points of damage deals 5d10 points of damage instead. The effects of this feat do not stack with the extra damage provided by the Deadeye or Rapid Shot feat. [[This is not an area attack]] Special: Firing a burst expends five shots and can only be done if the weapon has at least five shots remaining. If you do not have a Strength of 13 or higher, increase the penalty on attacks to –10 when using this feat with non-vehicle weapons. Normal: Autofire uses ten shots, targets a 2-square-by-2-square area, and can't be aimed at a specific target. Without this feat, if you attempt an autofire attack at a specific target, it simply counts as a normal attack and all the extra shots are wasted. SSotG: Vehicle weapons capable of autofire can be used with this feat normally. This is, in fact, the only time autofire attacks are useful in starship-scale combat. ","Weapon Proficiency (heavy weapons), proficient with weapon*","-5 on autofire Atk to gain +2 dice dam, 5 shots, if no Str 13 -10 Atk",,,,,,"[ranged(fired)], [autofire], [combat][offensive], [strength], [vehicle][starship][SotG]"
SV,21,Burst of Speed,"As a move action, you can move up to twice your speed. At the end of your movement, you move -1 step along the condition track.",Trained in Endurance,"move action to move twice speed, -1 CT at end",x,,x,x,x,"[skill(endurance)], [mobility], [combat]"
CR,82,Careful Shot,"If you aim before making a ranged attack (see Aim on page 154), you gain a +1 bonus on your attack roll. SSotG: Pilots can use these feats, but since they must spend at least one move action operating their vehicles, they must split their aim (two swift actions) and attack (standard action) into two separate turns, making it more likely that the target will break line of sight or otherwise avoid you. [[NOTE: Cannot use aim with area attacks.]]","BAB +2, Point Blank Shot","if you aim, +1 Atk",,,,x,x,"[ranged(grenade, fired, thrown)][ranged attack][question gtaim], [combat][offensive], [aim],  [vehicle][starship][SotG]"
GI,25,Channel Rage,"Once per day, instead of entering into a rage, you gain a +5 bonus to Will Defense until the end of the encounter. This bonus counts as using your rage ability for that day.",Rage,1/day expend use of Rage for +5 to Will Def for enc,,,,,,"[rage], [Will Defense], [combat][defensive]"
CR,82,Charging Fire,"When you charge, you may make a ranged attack instead of a melee attack at the end of your movement. Unlike a normal charge, your momentum does not help overcome your target, so you gain no bonus on attack roll. As with a normal charge, you still take a -2 penalty to your Reflex Defense. Normal: You can make a single melee attack with a +2 bonus on your attack roll at the end of a charge.",BAB +4,"make ranged Atk at end of charge, -2 to Ref Def",,,,,x,"[ranged(grenade, fired, thrown)][ranged attack], [mobility], [charge], [combat][offensive], "
K,31,Charging Fire + Dodge,You can reduce your penalty to your Reflex Defense against all opponents to -1 when making a ranged attack at the end of a charge.,"Combo, requires Dodge",Ref Def penalty -1 when making a ranged attack at end of charge,,,,,,"[ranged(fired, thrown)][target], [mobility], [charge], [combat][defensive][offensive], [combo], "
R,31,Clawed Subspecies,"You have natural weapons in the form of claws. When you make an unarmed attack, you can use your claws, dealing 1d6 points of slashing damage with that attack instead of normal unarmed damage. You are always considered armed with your natural weapons.",Quarren,gain claws 1d6 dam,,,,,,"[melee(unarmed)], [species(quarren)], [combat][offensive]"
CR,83,Cleave,"If you deal an opponent enough damage to reduce its hit points to 0, you get an immediate extra melee attack against another opponent within your reach. The extra attack is with the same weapon and at the same bonus as the attack that dropped the previous opponent. You can use this ability once per round. [[Battle Strike damage is definitely limited to your next attack roll, so it seems that the damage bonus would NOT apply to the extra Cleave attack, since the Cleave attack would be your second attack. But I do think you can retain the +1 attack from Battle Strike to use with your Cleave attack. Cleave specifically says it's at the same attack bonus as the attack that dropped your first target. Basically, you retain attack bonuses, but not damage bonuses.]] Unleashed: When you deal enough damage to an opponent to reduce its hit points to 0, you can spend a Destiny Point to get an immediate extra melee attack against all opponents within your reach. This feat works in all other ways as the Cleave feat.","Str 13, Power Attack","extra melee Atk after dropping target, within reach, same BAB",x,,,,x,"[melee(armed, unarmed)][ok], [combat][offensive], [strength], "
SV,21,Close Combat Escape,"When you successfully use Acrobatics to escape a grapple, you can spend a swift action to make a single attack with a melee weapon or an unarmed attack against the opponent that had grappled you. If the attack hits, it deals normal damage, and your opponent is considered flat-footed until the start of its next turn.",Trained in Acrobatics,"if escape grapple, swif action for single melee atk v. grappler",x,,x,,,"[melee(armed, unarmed)][ok], [skill(acrobatics)], [combat][offensive], "
SV,21,Collateral Damage,"When you deal damage with a single, non-area attack using the Rapid Shot feat, once per turn on your turn, you can immediately make a second attack at a -2 penalty against a second target within 2 squares of the first. If this attack hits, you deal half of the original attack's damage to that target.","Rapid Shot, BAB +6","with Rapid Shot make a 2nd atk at -2 w/in 2sq of target, deal half dam",,,x,,x,"[ranged(fired)], [combat][offensive]"
CR,83,Combat Reflexes,"When opponents leave themselves open, you may make a number of additional attacks of opportunity equal to your Dexterity modifier. For example, a character with a Dexterity of 15 can make a total of three attacks of opportunity in a round: the one attack of opportunity every character is entitled to, plus two more attacks because of his +2 Dexterity bonus. If four stormtroopers move through the character's threatened area, he can make attacks of opportunity against three of the four. You still only make one attack of opportunity on a single opponent. With this feat, you may also make attacks of opportunity while flat-footed. Normal: A character without the Combat Reflexes feat can make only one attack of opportunity per round and can't make attacks of opportunity while flat-footed. (See Attacks of Opportunity, page 155, for more information.)",,gain additional Attacks of Opportunity = Dex mod & flat-footed,x,,,,x,"[ranged(fired)][question gtaoo], [melee(armed, unarmed)], [combat][offensive], [attack of opportunity], [dexterity]"
UR,24,Combat Trickery,"You can spend two successive swift actions on the same turn to make a Deception check against a target’s Will Defense [[feint?]]. If the check is successful, the target is flat-footed against your next attack made before the end of your next turn. Additionally, you can spend a Force Point [[to make your target flat-footed against your next attack before the end of the encounter. It has been suggested that spending a FP will make your target flat-footed against your next attack before the end of the encounter, after which, the target will no longer be flat-footed.]]",Trained in Deception,"spend 2 swif on same turn for Deception v. Will Def for target to be flat-footed v. your next atk, spend FP for until end of enc",,x,x,,,"[skill(deception)], [combat][offensive][flat-footed]"
K,32,Conditioning,"You can reroll any Strength- or Constitution-based skill checks for skills that you are trained in (Climb, Endurance, Jump, Swim). The result of the reroll must be accepted even if it is worse. Additionally, once per encounter you can add your Strength bonus to your Fortitude Defense as a reaction; this bonus lasts until the beginning of your next turn.","Str 13, Con 13","reroll Str & Con skills trained in, mtr & 1/encounter add Str to Fort",,,,x,x,"[fortitude defense], [strength], [constitution], [skill(general)], [defensive]"
R,31,Confident Success,"Whenever you successfully use the Learn Secret Information application of the Gather Information skill, you gain 1 Force Point. You cannot gain more than 3 Force Points each level, and you cannot have more Force Points than you gained when you reached your current level.",Bothan,when successfully use Learn Secret Info gain Force Point up to 3 & max ,,,,,,"[species(bothan)], [skill(gather information)]"
F,33,Controlled Rage,You can enter a rage as a free action. Your rage ends 1 round after you declare it is finished. Normal: You must use a swift action to begin a rage and may not end it at will. Special: You may not use this feat to extend the number of rounds of rage available to your character.,Rage,"enter Rage as free action, end 1 round after you want to",,,,,,"[rage], [combat][offensive]"
CR,83,Coordinated Attack,You are automatically successful when using the aid another action to aid an ally's attack or suppress an enemy as long as the target is adjacent to you or within point blank range. Normal: You must make an attack roll against a Reflex Defense of 10 to gain the benefits of the aid another action.,BAB +2,Automatic success with aid another at point blank range,,,,,x,"[ranged(fired, thrown)][target], [question gtaa], [melee(armed, unarmed)], [combat][offensive], [support], [aid fire], [vehicle][starship][SotG]"
C,28,Coordinated Barrage,"When you aid an ally's attack, for every 3 points that the ally's attack roll beats the target's Reflex Defense, the attack deals +1 die of damage. The maximum number of bonus damage dice the attack receives is equal to the number of allies with this feat that aided on the attack roll or +5 dice, whichever is lower. SSotG: You may use this feat to aid an ally's attack. You can't use the aid another action to suppress a vehicle, but you can suppress an individual gunner (such as the lead gunner for a single weapon battery). You may use this feat even if you are using the aid another action as a sensor operator using a Use Computer check or a commander using a Knowledge (tactics) check.","BAB +5, Coordinated Attack",when aid for every 3 over Ref Def +1 die dam (+5 max),,,,,x,"[ranged(fired, thrown)][target], [question gtaa], [combat][offensive], [support], [aid fire],  [vehicle][starship]"
SV,21,Cornered,"Whenever you are threatened by an opponent and unable to take the withdraw action, you gain a +2 bonus on attack rolls against opponents that threaten you.",,when threatened & unable to withdraw +2 Atk against opponents,,x,x,x,,"[ranged(grenade, fired, thrown)][attack rolls], [melee(armed, unarmed)], [combat][offensive]"
GW,28,Covert Operatives (team feat),"You gain a +3 competence bonus to Stealth checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, when moving more than your speed or more than twice your speed, reduce the penalties to Stealth checks by 2.",Trained in Stealth,"+3 Stealth & +1 each ally w/feat w/in 12 sq (max +7), when moving your spd or more penalties reduced by 2",,,,,,"[skill(stealth)], [team], [support]"
K,32,Critical Strike,"You can take two consecutive swift actions in the same round to increase the critical range of your next melee attack by 1. Thus, if a weapon scores a critical hit on a natural 20, it can score a critical hit on a natural roll of 19 or 20 instead. However, any roll other than a natural 20 is not considered an automatic hit; if you roll a natural 19 and miss the target, you do not score a critical hit. You lose the benefits of Critical Strike if you lose line of sight to your target or if you take any other action before making your attack.","BAB +9, Weapon Focus (chosen melee weapon), proficient with chosen melee weapon*","2 swif for crit range +1 on next melee Atk, no other actions before",x,,,,x,"[melee(armed, unarmed)][question ulswp], [combat][offensive], "
F,33,Crossfire,"If you miss when making a ranged attack against a target that has soft cover (that is, cover provided by another character, creature, or droid), you can immediately make an attack roll (with the same weapon and at the same attack bonus) against the target that is providing the soft cover. You can use this feat only once per round.","BAB +6, Point Blank Shot, Precise Shot","1/round, if you miss v. soft cover, make attack v. soft cover",,,x,,x,"[ranged(fired, thrown)][target][question gtmulti], [combat][offensive], "
CR,83,Crush,"If you successfully pin an opponent with a grapple attack (see the Pin feat, page 87), you can immediately deal bludgeoning damage to it equal to your unarmed damage or claw damage, whichever is greater. [Works with Martial Arts to increase damage, but not with Sneak Attack.]","BAB +1, Pin",deal unarmed damage to a pinned opponent,,,,,x,"[melee(unarmed)], [grapple], [pin], [combat][offensive]"
F,33,Cunning Attack,You gain a +2 bonus on attack rolls against a flat-footed enemy or one who is denied its Dexterity bonus to Reflex Defense.,,+2 Atk v. flat-footed or any denied Dex to Ref Def,,,x,x,,"[ranged(fired, thrown)][target], [melee(armed, unarmed)], [combat][offensive]"
GI,27,Cut the Red Tape,"You can use your Knowledge (bureaucracy) modifier instead of your Gather Information modifier when making Gather Information checks. If you are entitled to a Gather Information check reroll, you can reroll your Knowledge (bureaucracy) check instead (subject to the same circumstances and limitations). You are considered trained in the Gather Information skill for the purposes of this check.",Trained in Knowledge (bureaucracy),Knowledge (bureaucracy) replaces Gather Info & considered trained,,x,,,,[skill(knowledge (bureaucracy))]
CR,83,Cybernetic Surgery,"You can install a cybernetic prosthesis (see CR page 137) on a living being. The surgical procedure takes 1 hour of uninterrupted work, after which you must make on a DC 20 Treat Injury check. If the check succeeds, the prosthesis is installed correctly. If the check fails, the prosthesis is not properly installed; however, you can try again after another uninterrupted hour of surgery. Special: You can install a cybernetic prosthesis on yourself, but you take a -5 penalty on the Treat Injury skill check. If you have the Surgical Expertise feat (see CR page 88), you can install a cybernetic prosthesis in 10 minutes instead of 1 hour.",Trained in Treat Injury,install cybernetic prosthesis,,x,,,,[skill(treat injury)]
