BOOK,PAGE,WEB,ITEM,Desc.,COMMENTS,TYPE,Cost,Weight,Uses, Use Cost
CR,137,w,Bacta tank (empty),"Bacta Tank

This large, specialized tank is filled with the powerful healing agent, bacta, which promotes rapid healing.

A bacta tank can be used in conjunction with surgery (see Treat Injury skill, page 74). If the Treat Injury check is successful, the patient heals a number of hit points equal to its character level in addition to that provided by Surgery.

A bacta tank can also be used when treating disease, poison, or radiation in a creature. In this case, the bacta tank grants a +5 equipment bonus on your Treat Injury check.

A bacta tank and a supply of bacta is expensive, so such medical equipment is usually found only in hospitals, aboard capital ships, and within major military bases. Each hour of treatment consumes one liter of bacta, which costs 100 credits. A typical tank holds up to 300 liters of bacta, and the tank must hold at least 150 liters at all times to provide any benefit. Only one creature can be immersed in the tank at any given time.
","300 liters to fill, +5 Treat Injury, requires 150 liters min to get benefits",Medical Gear,100000,500,,
CR,137,w,"Bacta, 1 liter",,1 hour treatment requires 1 liter,Medical Gear,100,2,,
CR,140,w,Bandolier,"Bandolier

Since there are so many types of weapons, there are an equally large number of ammunition types. Depending upon the weapons the wearer carries, a bandolier may contain energy cells or power packs (for blasters), clips (for slugthrowers), explosive bolts (for bowcasters), magazines (for missile launchers), grenades, knives, or any number of other forms of ammunition.

A bandolier has 12 slots that can each hold a single Tiny weapon (such as a grenade or a knife) or a single piece of equipment weighing up to 0.5 kg.

Any item on the bandolier can be retrieved as a move action.
","12 slots: tiny weapon, grenade, knife, or 0.5kg equipment; retrieve as a move action",Weapon and Armor Accessories,100,2,,
K,176,w,Bao-Dur's cybernetic arm,"Bao-Dur's Cybernetic Arm

After the battle of Malachor V, Bao-Dur designs and builds himself a unique cybernetic arm that uses an energy binding in place of a mechanical elbow. The arm has normal Human strength. By manipulating the energy binding during combat, Bao-Dur can disrupt an opponent's personal energy shield as well as some other force fields. The energy cell must be recharged every 48 hours, though Bao-Dur has included a variety of attachments to ensure he can recharge it from a variety of sources in an emergency.

Shield Breaker

To disrupt a field, Bao-Dur must be adjacent to the target and make a successful unarmed strike. If the attack hits, shields with an SR rating of 15 or lower are disabled and provide no protection for the rest of the encounter. If the shield has a rating greater than SR 15, the shield rating drops by -5, failing once it falls to SR 15 or lower. Bao-Dur's arm is ineffective against shields protecting Gargantuan or larger starships and vehicles.
","Successful unarmed strike disables shields with SR15 or less, otherwise -5.",Tools,,,,
J,64,w,"Battle harness, Sith","Battle Harness, Sith (JATM)

When riding large beasts such as Sith warbirds, the Sith frequently use special battle harnesses, turning the beasts into mobile weapon platforms. The harness features a cockpit that provides the rider improved cover, and the special reins grant a +2 equipment bonus on Ride checks. In addition, the mount gains a +4 equipment bonus to its Reflex Defense and its Fortitude Defense. The Sith battle harness also has a built-in blaster cannon, powered by an onboard fusion generator providing unlimited ammunition.
","+2 Ride, +4 Ref Def, +4 Fort Def, built-in blaster cannon with fusion generator",Survival Gear,5000,90,,
CR,139,w,Binder cuffs,"Binder Cuffs

Binder cuffs are durasteel restraints designed to lock two limbs of a prisoner together, normally the wrists of ankles, but it is possible to lock one arm to one leg or use the binder cuffs to hook a prisoner to a tree. The cuffs have damage reduction 10,20 hit points, and Strength 40. Breaking them requires a DC 30 Strength check, and removing them without the seven-digit release code requires a DC 25 Mechanics check. The binder cuffs can be attached to the limbs of any creature of Large, Medium, or Small size.
","DR10 hp20 Str40, can be broken with DC30 Str check, remove DC25 Mechanics",Tools,50,0.5,,
L,68,X,"Bio-implant, Body spikes","Body Spikes

Body spikes are hard, bony protrusions that grow in a roughly conical or crescent shape out of the bones of the implant recipient. Body spikes automatically deal 1d4 piercing and slashing damage to any opponent that grapples or is grappled by the recipient; this damage occurs at the end of the recipient's turn as long as the grapple is maintained.
",automatically deals 1d4 dam when grappling or being grappled,Bio-Implants,1400,,,
L,68,X,"Bio-implant, Cosmetic enhancements","Cosmetic Enhancements

More common and less risky than other Yuuzhan Vong bio-implants, cosmetic enhancements include tattoos, reshaping of bone structure, alterations to skin or hair color, superficial scarring, the addition of bony protrusions, and so forth. These cosmetic changes do not require an attack roll against the recipient's Fortitude Defense and ignore the normal rules for penalties on Use the Force checks. Cosmetic enhancements do not alter the statistics of their recipients in any way.
",no penalty on Use the Force,Bio-Implants,200,,,
L,68,X,"Bio-implant, Enhanced vision","Enhanced Vision

The enhanced vision implant replaces one or both of the recipient's eyes with specially grown creatures that have exceptional sensory perception. A creature with the enhanced vision implant gains the darkvision special quality (see page 257 of the Saga Edition core rulebook).
",gains darkvision,Bio-Implants,1900,,,
L,68,X,"Bio-implant, Natural armor","Natural Armor

The natural armor implant consists of a thick layer of chitin that grows out of the recipient's skin, protecting the recipient from attacks. This implant increases the creature's natural armor bonus by +1. If a creature does not have a natural armor bonus, it gains a +1 natural armor bonus. A natural armor bonus stacks with an armor bonus.
","Ref Def +1, stacks",Bio-Implants,7000,,,
L,68,X,"Bio-implant, Natural weapon","Natural Weapon

This implant gives the recipient some kind of natural weapon, whether in the form of bone spurs on the knuckles, claws from the fingertips, or some other kind of extension of the recipient's bone structure. When a creature with this implant makes an unarmed attack, it may choose to use its natural weapons, dealing 1d6 points of slashing damage, piercing damage, or bludgeoning damage with that attack instead of normal unarmed damage. A creature with this implant is always considered armed with its natural weapons.
","1d6 dam, considered armed",Bio-Implants,4000,,,
L,68,X,"Bio-implant, Poison filter","Poison Filter

A small creature is placed in, on, or around the heart. It absorbs and separates toxins that make their way into the blood stream, rendering them inert. A creature with a poison filter gains a +5 equipment bonus to Fortitude Defense against poisons.
",+5 Fort Def v. poisons,Bio-Implants,2500,,,
L,68,X,"Bio-implant, Replacement body part","Replacement Body Parts

Biological replacement limbs and organs are often more desirable than mechanical replacements (cybernetic prostheses), since they require little maintenance and can be fashioned to look natural. Yuuzhan Vong shapers have wildly varying tastes, but few could care less about whether a replace­ment limb matches the recipient's other limbs.

Once a replacement limb or organ is attached, it performs just as well as the original limb or organ.
",as original limb,Bio-Implants,2000,,,
C,65,w,Bioscanner,"Bioscanner (CWCG)

The bioscanner is a low-power, handheld scanner used by doctors and medi­cal technicians to help diagnose medical conditions in their patients. One or two passes over the patient collects biological information. The scanner displays vital statistics and analyzes and diagnoses any anomalies on file in the scanner's medical database. This device grants its user a +2 bonus on all Knowledge (life sciences) checks made to identify ailments.
",+2 Knowledge (life sciences) to identify ailments,Medical Gear,3500,0.5,,
R,149,w,BioTech Borg Construct AJ-6,"Biotech Borg Construct AJ-6

The BioTech Borg Construct Aj-6 provides a direct cabled or wireless link to computers and networks within a 10-meter range. It allows a cyborg to remotely program and access on-board data through thought alone. The standard model has a built-in cyborg/droid interface and up to four BioTech Knowledge Cartridge or standard datacard ports (at 500 credits per port beyond the first). Knowledge Cartridges use proprietary technology to achieve Intelligence 4 (instead of Intelligence 2 for a standard datacard), cost 100 credits each, and are not widely available. Installation is described at the Cybernetic Surgery feat; the unit cannot be self-installed.

Characters wearing the unit gain a +2 beneficial circumstance bonus to Use Computer, Knowledge, and other skills at the discretion of the Gamemaster. They can also use Issue Routine Commands as a swift action (or as a free action if they have the Gimmick talent). Wearers become more computerlike and less able to relate to people. Causing them to take a -5 penalty to all Persuasion checks. They also speak less frequently as they grow accustomed to the speed of communicating through electronic networks.
","Cybernetic, 80k for the model, 70k for surgery, adds many skills",Communications Devices,150000,,,
L,65,w,Biotech tool kit,"Biotech Tool Kit (LECG)

You need a biotech tool kit to modify Yuuzhan Vong biotechnology, install a bio-implant, or otherwise alter biological devices and vehicles. A standard biotech tool kit consists of a variety of implements and tools that look more at home in a medical kit than in a tool kit, and unlike a normal tool kit, items in a biotech tool kit cannot double as improvised weapons.
",needed to modify Vong biotech or install a bio-implant,Tools,450,1,,
CR,136,w,Breath mask,"Breath Mask

This personal atmosphere-filtering system consists of a mask that fits over the nose and mouth and a hose connecting the mask to a portable life support system. A breath mask provides 1 hour of breathable atmosphere before the filter and atmosphere canister must be replaced. A functional breath mask grants immunity to inhaled poisons, including poisonous atmospheres. A breath mask offers no protection from extreme temperatures or 1ard vacuum.

A breath mask system can be built into a suit of armor; Darth Vader's armor contains such a system.

Replacing the filter and atmosphere canister requires a DC 10 Mechanics check.
","1 hour breathable air, DC10 Mechanics to replace canister & filter",Life Support,200,2,,
CR,137,w,"Breath mask, atmosphere filter",,,Life Support,25,1,,
C,65,w,Camouflage netting,"Camouflage Netting (CWCG)

Any camouflage netting found on the market is one of two kinds: powered and unpowered. Both kinds, when draped over one or more objects within a 6-square-by-6-square area, bestow a +5 bonus to all Stealth checks while under the netting, and offer partial concealment.

Integrated into the netting of the powered version are overlapping sensor baffle scales that emulate the emission patterns of the surrounding terrain-including light emissions. Thus, powered camouflage netting grants an additional +5 bonus to all Stealth checks while under the netting. The netting is carried in a small backpack and takes a full-round action and two people to deploy it.
","6x6 sq area, +5 Stealth & partial concealment",Detection and Surveillance Devices,6000,40,,
GW,46,w,Camouflage netting,"Camouflage Netting (GaW)

This advanced netting uses the same technology as the camouflage poncho described below. Incorporating both light-bending technology and metallic jammers, it conceals objects from both visual and electronic scanning.

Camouflage netting comes in a small backpack. Two characters must each spend a full round action to deploy the netting, or a single character can deploy it in 1 minute. Once deployed, the camouflage netting is powered by an internal power cell, which has enough power to last for one month, or the netting can be connected to an external power source. Camouflage netting provides a +5 equipment bonus to Stealth checks, including Stealth checks against sensors, for an object of Huge size or smaller.
","2 deploy in full round or 1 in 1 minute, +5 Stealth & v. sensors for an object Huge or smaller",Survival Gear,2000,5,,
C,65,w,"Camouflage netting, powered","Camouflage Netting (CWCG)

Any camouflage netting found on the market is one of two kinds: powered and unpowered. Both kinds, when draped over one or more objects within a 6-square-by-6-square area, bestow a +5 bonus to all Stealth checks while under the netting, and offer partial concealment.

Integrated into the netting of the powered version are overlapping sensor baffle scales that emulate the emission patterns of the surrounding terrain-including light emissions. Thus, powered camouflage netting grants an additional +5 bonus to all Stealth checks while under the netting. The netting is carried in a small backpack and takes a full-round action and two people to deploy it.
","6x6 sq area, +10 Stealth & partial concealment, full-round & two people to deploy",Detection and Surveillance Devices,6000,40,,
GW,46,w,Camouflage poncho,"Camouflage Poncho (GaW)

The camouflage poncho is worn over armor to conceal the wearer from being spotted. Special materials track the surrounding area and alter the pattern of the camouflage poncho, smoothing and blending the wearer's silhouette. Typical examples include the Ayelixe/Krongbing Textiles camouflage poncho. A camouflage poncho grants a +5 equipment bonus to Stealth checks.
",+5 Stealth,Survival Gear,125,1.5,,
CR,138,w,Chain (3 meters),"Chain

This 3-meter (2-square) length of chain has damage reduction 10 and 5 hit points. It has Strength 44 and can safely support over 5 metric tons of weight, and it can be broken with a DC 32 Strength check.
","1sq, DR10 hp5 Str 44, can be broken with a DC32 Str check",Survival Gear,25,2.5,,
UR,40,w,Climbing harness,"Climbing Harness (UR)

Providing a measure of safety for a wide array of climbing activities, the climbing harness secures the wearer to a climb line, reducing the chances of falling by providing several attachment points for anchor lines, as well as additional options for securing equipment. A character using a climbing harness when making a Climb check falls only when he or she fails the check by 10 or more.
",fall only if fail Climb by 10 or more,Tools,45,0.7,,
CR,134,w,Code cylinder,"Code Cylinder

A compact encoded security device issued to many military, political, or corporate officials, a code cylinder accesses computer data via a droid's scomp link or provides entry into restricted facilities. Each cylinder features the user's personal security clearance data. High-ranking personnel may carry more than one cylinder, each with different access codes encrypted within them. Republic citizens, Imperial officers, and New Republic personnel use them to facilitate security measures.

Code cylinders are storage devices with Intelligence 10 and Will Defense 15. Improving your access to a code cylinder is difficult because the cylinder has a starting attitude of hostile (see page 75). If your Use Computer check fails by 5 or more, the code cylinder's self-destruct programming activates and ruins the cylinder.
",Int 10 Will 15,Computers and Storage Devices,500,0.1,,
GW,46,X,Com scrambler,"Com Scrambler (GaW)

The com scrambler disrupts enemy communication, but it also scrambles friendly communication. Mounted on a backpack frame, a com scrambler can be carried to the front line and even into enemy territory, where it can be connected to a power source and left behind.

A com scrambler covers a 20-kilometer radius, blanketing the area in powerful white noise that disrupts all comlinks, HoloNet signals, and droid remote receivers within the area. Getting a signal into or out of the affected area requires a Use Computer check against the com scrambler's default Use Computer +10. This check must be made every minute as the com scrambler's computer constantly scans and adapts to block any signals it locates.
","20km radius, Use Computer +10 v. signal trying to get out made every minute",Communications Devices,6000,10,,
GI,66,w,"Comlink, Earbud","Comlink, Earbud (GoI)

The earbud comlink is a tiny comlink fitted for the wearer's ear, allowing unobtrusive private communication for anyone needing to be discreet- ambassadors, card cheats, and spies, for example. The earbud comlink's size, shape, and color give the wearer a +5 equipment bonus to Deception checks for the purpose of hiding its presence. The earbud comlink can be programmed to initiate or receive a transmission when the wearer touches his or her ear or even clicks or grinds his or her teeth. Because of its minute size, the earbud has the same range as a short-range comlink-50 kilometers or low orbit.
","+5 Deception to hide the earbud, range 50 km",Communications Devices,200,,,
CR,134,w,"Comlink, encryption","Comlink

A personal communications transceiver, the comlink consists of a receiver, a transmitter, and a power source. Comlinks come in a variety of shapes and styles. Short-range comlinks have a range of 50 kilometers or low orbit, and they can be built into helmets and armor; for example, stormtrooper armor includes a helmet equipped with a short-range comlink. A long-range comlink has a range of 200 kilometers or high orbit, and it requires with a backpack-sized com set. For double the cost, a long-range comlink can be miniaturized to a wrist-sized unit.

Encryption: A comlink can have hardwired encryption routines (adding + 10 to the DC of all Use Computer checks made to intercept your transmission) for ten times the base cost.

Video Capability: A comlink can have video capability (two-dimensional images in addition to audio) for twice the base cost.

Holo Capability: A com link can have holo capability (three-dimensional images in addition to audio) for five times the base cost.
",DC+10 Use Computer to intercept transmission,Communications Devices,x10,,,
L,65,w,"Comlink, hands-free","Comlink, Hands-Free (LECG)

The hands-free comlink is a convenient device often used by beings work­ing under conditions where both hands are needed to perform a task. This comlink consists of several linked sound-absorbing pads, placed on the face of the user and connected to an earpiece. When the wearer speaks, the sound-absorbing pads transmit the speech; additionally, the comlink can be adjusted to pick up only the faintest of whispers, allowing the wearer to use the comlink to communicate quietly when stealth is important. Morrigan Corde frequently uses a hands-free comlink.

A hands-free comlink functions as a short-range comlink, but does not have video or holo capability.
",as a short-range comlink without video or holo,Communications Devices,150,0.1,,
CR,134,w,"Comlink, holo capability","Comlink

A personal communications transceiver, the comlink consists of a receiver, a transmitter, and a power source. Comlinks come in a variety of shapes and styles. Short-range comlinks have a range of 50 kilometers or low orbit, and they can be built into helmets and armor; for example, stormtrooper armor includes a helmet equipped with a short-range comlink. A long-range comlink has a range of 200 kilometers or high orbit, and it requires with a backpack-sized com set. For double the cost, a long-range comlink can be miniaturized to a wrist-sized unit.

Encryption: A comlink can have hardwired encryption routines (adding + 10 to the DC of all Use Computer checks made to intercept your transmission) for ten times the base cost.

Video Capability: A comlink can have video capability (two-dimensional images in addition to audio) for twice the base cost.

Holo Capability: A com link can have holo capability (three-dimensional images in addition to audio) for five times the base cost.
",3D,Communications Devices,x5,,,
CR,134,w,"Comlink, long-range","Comlink

A personal communications transceiver, the comlink consists of a receiver, a transmitter, and a power source. Comlinks come in a variety of shapes and styles. Short-range comlinks have a range of 50 kilometers or low orbit, and they can be built into helmets and armor; for example, stormtrooper armor includes a helmet equipped with a short-range comlink. A long-range comlink has a range of 200 kilometers or high orbit, and it requires with a backpack-sized com set. For double the cost, a long-range comlink can be miniaturized to a wrist-sized unit.

Encryption: A comlink can have hardwired encryption routines (adding + 10 to the DC of all Use Computer checks made to intercept your transmission) for ten times the base cost.

Video Capability: A comlink can have video capability (two-dimensional images in addition to audio) for twice the base cost.

Holo Capability: A com link can have holo capability (three-dimensional images in addition to audio) for five times the base cost.
","200km, double cost for wrist sized",Communications Devices,250,1,,
CR,134,w,"Comlink, short-range","Comlink

A personal communications transceiver, the comlink consists of a receiver, a transmitter, and a power source. Comlinks come in a variety of shapes and styles. Short-range comlinks have a range of 50 kilometers or low orbit, and they can be built into helmets and armor; for example, stormtrooper armor includes a helmet equipped with a short-range comlink. A long-range comlink has a range of 200 kilometers or high orbit, and it requires with a backpack-sized com set. For double the cost, a long-range comlink can be miniaturized to a wrist-sized unit.

Encryption: A comlink can have hardwired encryption routines (adding + 10 to the DC of all Use Computer checks made to intercept your transmission) for ten times the base cost.

Video Capability: A comlink can have video capability (two-dimensional images in addition to audio) for twice the base cost.

Holo Capability: A com link can have holo capability (three-dimensional images in addition to audio) for five times the base cost.
",50km,Communications Devices,25,0.1,,
GW,46,X,"Comlink, tightbeam","Comlink, Tightbeam (GaW)

A tightbeam comlink is a simple add-on for any comlink or transceiver. It is worn on a helmet or headpiece and uses special lasers to send and receive encrypted messages from another individual also equipped with a tightbeam comlink. Soldiers use the tightbeam comlink to ensure that messages are not intercepted on the battlefield. The two characters must be in line of sight with each other, but the tightbeam comlink ignores penalties due to darkness, smoke, or other atmospheric conditions.

Communication scanners (see below) and other passive methods of inter­ception cannot pick up tightbeam comlink messages, unless the interceptor is directly in the path between individuals using these devices.
","must be in LOS, cannot be intercepted unless in line with communicators",Communications Devices,300,0.5,,
CR,134,w,"Comlink, video capability","Comlink

A personal communications transceiver, the comlink consists of a receiver, a transmitter, and a power source. Comlinks come in a variety of shapes and styles. Short-range comlinks have a range of 50 kilometers or low orbit, and they can be built into helmets and armor; for example, stormtrooper armor includes a helmet equipped with a short-range comlink. A long-range comlink has a range of 200 kilometers or high orbit, and it requires with a backpack-sized com set. For double the cost, a long-range comlink can be miniaturized to a wrist-sized unit.

Encryption: A comlink can have hardwired encryption routines (adding + 10 to the DC of all Use Computer checks made to intercept your transmission) for ten times the base cost.

Video Capability: A comlink can have video capability (two-dimensional images in addition to audio) for twice the base cost.

Holo Capability: A com link can have holo capability (three-dimensional images in addition to audio) for five times the base cost.
",2D,Communications Devices,x2,,,
GW,46,w,Communication scanner,"Communications Scanner (GaW)

A communications scanner is a datapad-sized device used to intercept, analyze, decode, and record comlink, transceiver, and HoloNet transmis­sions. Unencrypted broadcasts are automatically picked up. By making a DC 15 Use Computer check, the user can determine the number and types of communication being broadcasted and received within a 50-kilometer radius. A DC 20 Use Computer check reveals the direction and distance of a broadcast. The communication scanner grants a +5 equipment bonus to decipher encrypted messages that it receives. However, it cannot be used to locate the presence of tightbeam comlinks (above) unless the scanner is directly in the path of the comlink.

In addition, the communication scanner functions as a recording unit (see page 136 of the Saga Edition core rulebook) for the transmissions that it intercepts.
","DC 15 Use Computer within 50km, DC 20 for distance & direction, +5 v. encrypted, recorder",Detection and Surveillance Devices,1000,1,,
K,73,w,Computer interface visor,"Computer Interface Visor (KotORCG)

Worn across the eyes and connected to a computer system, the computer interface visor provides the wearer with a heads-up display that displays relevant data laid over one's normal vision. A computer interface visor translates complex computer algorithms into easy-to-understand symbols and words, allowing the wearer to attempt trained-only applications of the Use Computer skill even if untrained. The computer interface visor also pro­vides a +2 equipment bonus on Use Computer checks. A computer interface visor cannot be worn at the same time as armor with a helmet or any other device worn on the head.
",Use Computer +2,Computers and Storage Devices,1200,0.5,,
T,87,w,Computer spikes,"Computer Spikes (TotG)

Computer spikes are single-use programs built into a basic piece of computer hardware that plugs directly into another computer system.

Designed to bypass computer security and help improve access to protected systems, a computer spike interfaces with another computer system and uses untraceable programs to chip away at the target system's defenses. A computer spike can be activated as a swift action, after which it makes a single Use Computer check (with a bonus of +2 or higher, determined by its cost and quality) that can be used only to improve access. All computer spikes are considered illegal.
","swif, Use Computer +2 to improve access, illegal, 1500 per +2",Computers and Storage Devices,1500,1,,
C,65,w,"Computer, bracer","Computer, Bracer (CWCG)

The bracer computer is a datapad worn on the user's forearm. It performs all the same functions as the standard datapad, including the ability to read standard data cards in a slot on the underside of the device. The bracer computer also features a holographic screen that displays information as a two-dimensional image about three centimeters above the device. Plus, the keyboard is designed to accommodate one-handed typing. The bracer computer is popular among those who need to conserve space with their equipment, particularly bounty hunters. A bracer computer has Intelligence 12.
",Int 12,Computers and Storage Devices,1300,0.5,,
R,51,w,Computerized interface scope,"Computerized Interface Scope (RECG)

This item is a small electrobinocular device, mounted onto a weapon, that projects a targeting image onto a monocle or helmet display worn by the wielder. Additionally, the computer image projected by the scope can be displayed on a datapad or transmitted by comlink to a remote location, allowing others to see what the wielder sees. By using a computerized interface scope, the wielder effectively reduces the range of the target by one category (minimum of point blank) when aiming. The device is otherwise mechanically identical to a targeting scope (see page 140 of the Saga Edition core rulebook) and does not stack with a targeting scope or with any other device that does not stack with a targeting scope.
","-1 range when aiming, otherwise as targeting scope.",Detection and Surveillance Devices,2000,0.5,,
T,45,w,Cortosis Gauntlet,"Cortosis Gauntlet

All Imperial Knights wear specially designed gauntlets made of cortosis weave that protect them from the normally lethal lightsaber blades. If the wearer readies an action to block a lightsaber attack, the wearer can make an opposed unarmed melee attack roll against the attack roll of the lightsaber attack. If the wearer of the cortosis gauntlet is successful, the lightsaber deactivates and may not be reactivated for 2 minutes. The attack still deals normal damage before the lightsaber is deactivated.

If the wearer of a cortosis gauntlet is the target of the Severing Strike talent, the attacker can choose to sever the limb where the cortosis gauntlet is worn without having his or her lightsaber deactivated.
",can deactivate lightsabers 2min,Weapon and Armor Accessories,1500,1,,
CR,134,w,Credit chip,"Credit Chip

The credit chip is a small, flat card that features a security codeout and credit algorithm memory stripes. The chip can hold a specified number of credits appropriate to the government that issued it, or it can draw from a specific account held by the user. Credit chips not only allow quick and easy transfers of funds but also protect users from theft.

Credit chips are storage devices with Intelligence 10 and Will Defense 15. Improving your access to a credit chip is very difficult because the chip has a starting attitude of hostile (see page 75). Once it is friendly, you can draw from the account to which it is linked. If you fail by 5 or more on your Use Computer check to improve access, the credit chip's security program detects the intrusion attempt and self-destructs.

Modifying a credit chip so that government and bank computers think that it draws on a different account or that it has a different value stored is almost impossible: The central bank's computers have Will Defense 30 and a starting attitude of hostile (see page 75); even worse, you won't know if your check succeeded until after you attempt to use the modified credit chip. If you fail, the government or bank computer orders the chip's self-destruct programming to activate, ruining the chip. If you fail by 5 or more, the chip's self-destruct programming activates and the government or bank computer has traced your location, dispatching security personnel to apprehend you .
",small card that holds credits and can draw credits from specified account; Int 10 Will 15,Computers and Storage Devices,100,0.1,,
GW,46,X,Cryogenic pouch,"Cryogenic Pouch (GaW)

A cryogenic pouch is a medical device that can stabilize critically wounded soldiers in the field. It comes in a small canister worn on a soldier's belt or stored in a medical kit. Opening the canister releases a pouch large enough to hold a single Medium creature. When the pouch is sealed, it releases a cryogenic compound that causes the creature inside to enter suspended animation, stabilizing his or her condition for transport to a proper medi­cal facility. Bounty hunters sometimes use of cryogenic pouches to move prisoners.

Activating a cryogenic pouch and wrapping it around an unconscious creature requires a full round action. A creature that has been reduced to 0 hit points due to poison, radiation, or damage surpassing its Damage Threshold can be stabilized without dying within 1d3 rounds of being placed inside the cryogenic pouch. The creature remains unconscious and moves -5 steps on the condition track.

A cryogenic pouch has enough power to keep a creature alive for up to 24 hours, although it can be hooked up to another power source with a DC 10 Mechanics check. Designed for rough handling in battlefield conditions, the pouch has DR 5, but a single point of damage is enough to breach the seal. If the cryogenic pouch is breached, the character inside reverts to its previous state after 1 round.
","full round, Medium or smaller, can stabilize dying for 24 hours unless other power source, DR 5 1 hp",Medical Gear,600,1.5,,
